case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,evidence_fields,red_flag_fields,price_validation_status,production_input,notes
medical_ai_no_reimbursement_counterexample,DIGITAL_HEALTHCARE_AI,MED_AI_NO_PAY,의료AI_수가부재,KR,failed_rerating,MEDICAL_DEVICE_HEALTHCARE_EXPORT,WATCH_YELLOW_FIRST,clinical_ai_paper,no_reimbursement|no_paid_usage,needs_price_backfill,false,No reimbursement blocks Green.
hospital_ai_poc_no_revenue_counterexample,DIGITAL_HEALTHCARE_AI,HOSP_AI_POC,병원AI_PoC_무매출,KR,failed_rerating,MEDICAL_DEVICE_HEALTHCARE_EXPORT,WATCH_YELLOW_FIRST,poc|hospital_trial,poc_only|no_revenue_conversion,needs_price_backfill,false,PoC without revenue remains Stage 1/2.
medical_ai_liability_risk_4c,DIGITAL_HEALTHCARE_AI,MED_AI_LIABILITY,의료AI책임리스크,KR,4c_thesis_break,MEDICAL_DEVICE_HEALTHCARE_EXPORT,WATCH_YELLOW_FIRST,medical_ai_response,liability|clinical_validation_gap,needs_price_backfill,false,Liability or validation failure can break medical AI thesis.
ess_shift_candidate,BATTERY_RECYCLING_ESS_SHIFT,ESS_SHIFT,ESS 전환 후보,KR,success_candidate,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,ess_shift|customer_contract,ev_demand_slowdown|capex_overbuild,needs_price_backfill,false,ESS shift can be a candidate if customers and utilization are visible.
ev_demand_slowdown_4c,BATTERY_RECYCLING_ESS_SHIFT,EV_SLOW_4C,EV수요둔화4C,KR,4c_thesis_break,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,ev_battery_capacity,ev_demand_slowdown|margin_compression,needs_price_backfill,false,EV slowdown can break battery CAPA thesis.
battery_recycling_no_volume_counterexample,BATTERY_RECYCLING_ESS_SHIFT,RECYCLING_NO_VOL,폐배터리물량부재,KR,failed_rerating,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,battery_recycling_policy,no_volume|no_commercialization,needs_price_backfill,false,Recycling policy without volume is not structural evidence.
solid_state_no_commercialization_counterexample,BATTERY_RECYCLING_ESS_SHIFT,SOLID_NO_COMM,전고체무상용화,KR,failed_rerating,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,solid_state_theme,commercialization_delay|no_revenue_conversion,needs_price_backfill,false,Solid-state theme remains Watch before commercialization.
brokerage_trading_value_rally_candidate,SECURITIES_BROKERAGE_CYCLE,BROKER_TURNOVER,거래대금회복_증권사,KR,success_candidate,FINANCIAL_SPREAD_BALANCE_SHEET,WATCH_YELLOW_FIRST,trading_value_growth|brokerage_revenue_growth,turnover_peak|pf_loss,needs_price_backfill,false,Brokerage candidate requires revenue and PF risk confirmation.
securities_pf_loss_4c,SECURITIES_BROKERAGE_CYCLE,BROKER_PF_4C,증권사_PF손실,KR,4c_thesis_break,FINANCIAL_SPREAD_BALANCE_SHEET,WATCH_YELLOW_FIRST,brokerage_balance_sheet,pf_loss|capital_ratio_down,needs_price_backfill,false,PF loss can override trading-value recovery.
ipo_pipeline_recovery_candidate,SECURITIES_BROKERAGE_CYCLE,IPO_PIPE,IPO파이프라인회복,KR,success_candidate,FINANCIAL_SPREAD_BALANCE_SHEET,WATCH_YELLOW_FIRST,ipo_pipeline|ib_fee_growth,pipeline_delay|market_turnover_peak,needs_price_backfill,false,IPO recovery needs actual fee conversion.
vc_exit_market_weakness_counterexample,SECURITIES_BROKERAGE_CYCLE,VC_EXIT_WEAK,VC회수시장부진,KR,failed_rerating,FINANCIAL_SPREAD_BALANCE_SHEET,WATCH_YELLOW_FIRST,vc_portfolio,exit_market_weakness|valuation_markdown,needs_price_backfill,false,VC recovery expectation without exits stays Watch.
sk_hynix_hbm_success_case,MEMORY_HBM_CAPACITY,000660,SK하이닉스 HBM,KR,structural_success,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,hbm_demand|supply_discipline|medium_term_revision,capex_reversal|memory_price_down,needs_price_backfill,false,HBM structural success candidate; exact price path must be source-filled.
sk_hynix_4b_crowding_watch,MEMORY_HBM_CAPACITY,000660,SK하이닉스 4B crowding,KR,4b_watch,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,one_to_two_year_price_surge|global_crowding|market_cap_multiple_saturation,capex_reversal|revision_slowdown,needs_price_backfill,false,Successful HBM rerating needs 4B-watch after large price move.
simple_dram_rebound_counterexample,MEMORY_HBM_CAPACITY,DRAM_REBOUND,단순DRAM반등,KR,failed_rerating,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,memory_price_rebound,no_medium_term_revision|cycle_only,needs_price_backfill,false,Simple DRAM rebound is cyclical unless medium-term evidence exists.
ai_capex_cut_memory_4c,MEMORY_HBM_CAPACITY,MEMORY_CAPEX_4C,AI_CAPEX둔화_메모리,KR,4c_thesis_break,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,hbm_exposure,customer_ai_capex_slowdown|memory_price_down,needs_price_backfill,false,Customer AI CAPEX slowdown is a hard memory risk.
