archetype,primary_overlay,secondary_overlays,korean_name,posture,green_policy,price_validation_focus
AUTO_MOBILITY_COMPONENTS,CYCLE_MACRO_CREDIT,,경기/사이클,CYCLE_OR_EVENT_CAPPED,Green is capped unless cycle/credit risk is controlled and FCF durability is visible.,cycle_boom_bust|credit_relief_rally|reopening_cycle|mfe_90d|mae_180d
AUTO_MOBILITY_COMPLETED_VEHICLE,CYCLE_MACRO_CREDIT,,경기/사이클,CYCLE_OR_EVENT_CAPPED,Green is capped unless cycle/credit risk is controlled and FCF durability is visible.,cycle_boom_bust|credit_relief_rally|reopening_cycle|mfe_90d|mae_180d
ROBOTICS_FACTORY_AUTOMATION,THEME_TECH_EXPECTATION,,테마/기술 기대,REDTEAM_FIRST,"Green is blocked or rare until revenue, OP, FCF, or royalty conversion is proven.",theme_overheat|accounting_trust_break|price_moved_without_evidence|false_green
AI_DATA_CENTER_INFRASTRUCTURE,AI_POWER_INFRA,,AI/전력/인프라,STRUCTURAL_GREEN_POSSIBLE,"Green possible only after orders, delivery/revenue conversion, and EPS revision are visible.",stair_step_rerating|theme_overheat|mfe_180d|time_to_100pct
NUCLEAR_SMR_GRID_POLICY,NATIONAL_STRATEGY_POLICY,,정책/국가전략,WATCH_YELLOW_FIRST,"Watch/Yellow first; Green needs contract economics, revenue conversion, and low legal/policy risk.",event_premium|stair_step_rerating|stage4c_price|drawdown_after_peak
TRAVEL_LEISURE_REOPENING,CYCLE_MACRO_CREDIT,,경기/사이클,CYCLE_OR_EVENT_CAPPED,Green is capped unless cycle/credit risk is controlled and FCF durability is visible.,cycle_boom_bust|credit_relief_rally|reopening_cycle|mfe_90d|mae_180d
EDUCATION_SPECIALTY_SERVICES,THEME_TECH_EXPECTATION,,테마/기술 기대,REDTEAM_FIRST,"Green is blocked or rare until revenue, OP, FCF, or royalty conversion is proven.",theme_overheat|accounting_trust_break|price_moved_without_evidence|false_green
RARE_METALS_STRATEGIC_MATERIALS,NATIONAL_STRATEGY_POLICY,,정책/국가전략,WATCH_YELLOW_FIRST,"Watch/Yellow first; Green needs contract economics, revenue conversion, and low legal/policy risk.",event_premium|stair_step_rerating|stage4c_price|drawdown_after_peak
VALUE_UP_SHAREHOLDER_RETURN,CAPITAL_ALLOCATION_VALUEUP,,자본배분/밸류업,WATCH_YELLOW_FIRST,Green requires ROE/PBR/shareholder-return consistency or durable NAV/FCF improvement.,event_premium|straight_rerating|mfe_1y|below_stage3_price_flag
PLATFORM_SOFTWARE_INTERNET,THEME_TECH_EXPECTATION,,테마/기술 기대,REDTEAM_FIRST,"Green is blocked or rare until revenue, OP, FCF, or royalty conversion is proven.",theme_overheat|accounting_trust_break|price_moved_without_evidence|false_green
GAME_CONTENT_IP,THEME_TECH_EXPECTATION,,테마/기술 기대,REDTEAM_FIRST,"Green is blocked or rare until revenue, OP, FCF, or royalty conversion is proven.",theme_overheat|accounting_trust_break|price_moved_without_evidence|false_green
FINANCIAL_SPREAD_BALANCE_SHEET,CAPITAL_ALLOCATION_VALUEUP,,자본배분/밸류업,WATCH_YELLOW_FIRST,Green requires ROE/PBR/shareholder-return consistency or durable NAV/FCF improvement.,event_premium|straight_rerating|mfe_1y|below_stage3_price_flag
BIOTECH_REGULATORY,THEME_TECH_EXPECTATION,,테마/기술 기대,REDTEAM_FIRST,"Green is blocked or rare until revenue, OP, FCF, or royalty conversion is proven.",theme_overheat|accounting_trust_break|price_moved_without_evidence|false_green
BIOTECH_PRE_REVENUE_REGULATORY,THEME_TECH_EXPECTATION,,테마/기술 기대,REDTEAM_FIRST,"Green is blocked or rare until revenue, OP, FCF, or royalty conversion is proven.",theme_overheat|accounting_trust_break|price_moved_without_evidence|false_green
BIOTECH_ROYALTY_COMMERCIALIZATION,THEME_TECH_EXPECTATION,,테마/기술 기대,REDTEAM_FIRST,"Green is blocked or rare until revenue, OP, FCF, or royalty conversion is proven.",theme_overheat|accounting_trust_break|price_moved_without_evidence|false_green
CDMO_HEALTHCARE_CONTRACT,RECURRING_EXPORT_BRAND,,반복수출/브랜드,STRUCTURAL_GREEN_POSSIBLE,"Green possible when repeat demand/channel expansion, OPM, and revisions move together.",stair_step_rerating|straight_rerating|mfe_1y|time_to_100pct
MEDICAL_DEVICE_HEALTHCARE_EXPORT,RECURRING_EXPORT_BRAND,,반복수출/브랜드,STRUCTURAL_GREEN_POSSIBLE,"Green possible when repeat demand/channel expansion, OPM, and revisions move together.",stair_step_rerating|straight_rerating|mfe_1y|time_to_100pct
RETAIL_DOMESTIC_CONSUMER,THEME_TECH_EXPECTATION,,테마/기술 기대,REDTEAM_FIRST,"Green is blocked or rare until revenue, OP, FCF, or royalty conversion is proven.",theme_overheat|accounting_trust_break|price_moved_without_evidence|false_green
CONSTRUCTION_REAL_ESTATE_CREDIT,CYCLE_MACRO_CREDIT,,경기/사이클,CYCLE_OR_EVENT_CAPPED,Green is capped unless cycle/credit risk is controlled and FCF durability is visible.,cycle_boom_bust|credit_relief_rally|reopening_cycle|mfe_90d|mae_180d
UTILITIES_REGULATED_TARIFF,THEME_TECH_EXPECTATION,,테마/기술 기대,REDTEAM_FIRST,"Green is blocked or rare until revenue, OP, FCF, or royalty conversion is proven.",theme_overheat|accounting_trust_break|price_moved_without_evidence|false_green
HOLDING_RESTRUCTURING_GOVERNANCE,CAPITAL_ALLOCATION_VALUEUP,,자본배분/밸류업,WATCH_YELLOW_FIRST,Green requires ROE/PBR/shareholder-return consistency or durable NAV/FCF improvement.,event_premium|straight_rerating|mfe_1y|below_stage3_price_flag
TURNAROUND_COST_RESTRUCTURING,CAPITAL_ALLOCATION_VALUEUP,,자본배분/밸류업,WATCH_YELLOW_FIRST,Green requires ROE/PBR/shareholder-return consistency or durable NAV/FCF improvement.,event_premium|straight_rerating|mfe_1y|below_stage3_price_flag
ONE_OFF_EVENT_DEMAND,THEME_TECH_EXPECTATION,,테마/기술 기대,REDTEAM_FIRST,"Green is blocked or rare until revenue, OP, FCF, or royalty conversion is proven.",theme_overheat|accounting_trust_break|price_moved_without_evidence|false_green
THEME_VALUATION_OVERHEAT,THEME_TECH_EXPECTATION,,테마/기술 기대,REDTEAM_FIRST,"Green is blocked or rare until revenue, OP, FCF, or royalty conversion is proven.",theme_overheat|accounting_trust_break|price_moved_without_evidence|false_green
GENERIC_UNCLASSIFIED,THEME_TECH_EXPECTATION,,테마/기술 기대,REDTEAM_FIRST,"Green is blocked or rare until revenue, OP, FCF, or royalty conversion is proven.",theme_overheat|accounting_trust_break|price_moved_without_evidence|false_green
