case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,evidence_fields,red_flag_fields,price_validation_status,production_input,notes
forever21_fast_fashion_bankruptcy_4c,APPAREL_BRAND_OEM,FOREVER21,Forever 21,US,4c_thesis_break,EXPORT_RECURRING_CONSUMER,WATCH_YELLOW_FIRST,fast_fashion_brand,inventory_failure|channel_adaptation_failure,needs_price_backfill,false,Bankruptcy-style channel/inventory failure is 4C evidence.
apparel_inventory_markdown_counterexample,APPAREL_BRAND_OEM,APPAREL_MARKDOWN,의류재고할인,KR,failed_rerating,EXPORT_RECURRING_CONSUMER,WATCH_YELLOW_FIRST,sales_growth,inventory_build|markdown,needs_price_backfill,false,Sales growth without inventory discipline is not structural.
cement_price_hike_candidate,BUILDING_MATERIALS_REIT,CEMENT_PRICE,시멘트가격인상,KR,success_candidate,CONSTRUCTION_REAL_ESTATE_CREDIT,WATCH_YELLOW_FIRST,price_hike|cost_stability,volume_decline|pf_stress,needs_price_backfill,false,Cement price hike candidate needs volume and margin confirmation.
reit_rate_cut_dividend_candidate,BUILDING_MATERIALS_REIT,REIT_DIV,리츠금리하락배당,KR,success_candidate,CONSTRUCTION_REAL_ESTATE_CREDIT,WATCH_YELLOW_FIRST,rate_down|dividend_coverage|occupancy,refinancing_stress|vacancy_up,needs_price_backfill,false,REIT candidate needs occupancy and dividend coverage.
korea_pf_delinquency_4c,BUILDING_MATERIALS_REIT,KR_PF_4C,한국PF연체,KR,4c_thesis_break,CONSTRUCTION_REAL_ESTATE_CREDIT,WATCH_YELLOW_FIRST,pf_exposure,pf_stress|credit_risk,needs_price_backfill,false,PF stress is a red-team-first condition.
builder_liquidity_support_relief_rally_counterexample,BUILDING_MATERIALS_REIT,BUILDER_RELIEF,건설유동성지원랠리,KR,event_premium,CONSTRUCTION_REAL_ESTATE_CREDIT,WATCH_YELLOW_FIRST,liquidity_support,relief_rally_only|credit_risk_remaining,needs_price_backfill,false,Liquidity support can create relief rally but not structural Green.
samsung_biologics_us_capacity_candidate,CDMO_HEALTHCARE_CONTRACT,207940,삼성바이오로직스,KR,success_candidate,CDMO_HEALTHCARE_CONTRACT,GREEN_POSSIBLE,us_capacity|drug_substance_capacity|customer_diversification,underutilization|customer_concentration,needs_price_backfill,false,CDMO capacity candidate; utilization and FCF evidence needed.
celltrion_biosimilar_candidate,CDMO_HEALTHCARE_CONTRACT,068270,셀트리온,KR,success_candidate,CDMO_HEALTHCARE_CONTRACT,GREEN_POSSIBLE,biosimilar_revenue|production_scale,litigation|price_competition,needs_price_backfill,false,Biosimilar/CDMO adjacent candidate; contract and margin evidence needed.
cdmo_capacity_underutilization_4c,CDMO_HEALTHCARE_CONTRACT,CDMO_UNDERUTIL,CDMO가동률부족,KR,4c_thesis_break,CDMO_HEALTHCARE_CONTRACT,GREEN_POSSIBLE,capacity_expansion,underutilization|fcf_damage,needs_price_backfill,false,Capacity without utilization is not Green and can become 4C.
cdmo_patent_litigation_delay_4c,CDMO_HEALTHCARE_CONTRACT,CDMO_LITIGATION,CDMO특허소송지연,KR,4c_thesis_break,CDMO_HEALTHCARE_CONTRACT,GREEN_POSSIBLE,production_plan,litigation|contract_delay,needs_price_backfill,false,Patent/litigation delay can break production visibility.
korea_zinc_tender_event_premium,RARE_METALS_STRATEGIC_MATERIALS,010130,고려아연 공개매수,KR,event_premium,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,tender_offer|control_premium,event_premium_only|takeover_uncertainty,needs_price_backfill,false,Tender premium must be separated from structural FCF rerating.
korea_zinc_strategic_materials_candidate,RARE_METALS_STRATEGIC_MATERIALS,010130,고려아연 전략금속,KR,success_candidate,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,strategic_materials|smelting_margin|supply_chain_value,commodity_price_reversal|governance_dispute,needs_price_backfill,false,Strategic materials candidate requires FCF and governance evidence.
korea_zinc_share_issue_governance_risk_4c,RARE_METALS_STRATEGIC_MATERIALS,010130,고려아연 신주발행 리스크,KR,4c_thesis_break,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,governance_event,share_issue_dispute|trust_break,needs_price_backfill,false,Governance deterioration can become thesis-break evidence.
pure_metal_price_cycle_counterexample,RARE_METALS_STRATEGIC_MATERIALS,METAL_CYCLE,순수금속가격사이클,KR,failed_rerating,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,metal_price,commodity_price_only|no_fcf_evidence,needs_price_backfill,false,"Metal price alone is cyclical, not structural Green."
