case_id,symbol,company_name,archetype,round1_core_archetype,block,case_type
single_device_no_consumable,DEVICE_NO_CONSUMABLE,소모품 없는 단일 의료기기,MEDICAL_DEVICE_HEALTHCARE_EXPORT,MEDICAL_DEVICE_HEALTHCARE_EXPORT,STRUCTURAL_E2R,failed_rerating
medical_approval_delay,MED_APPROVAL_DELAY,의료기기 승인 지연,MEDICAL_DEVICE_HEALTHCARE_EXPORT,MEDICAL_DEVICE_HEALTHCARE_EXPORT,STRUCTURAL_E2R,4c_thesis_break
kb_financial_valueup,105560,KB금융 밸류업,VALUE_UP_SHAREHOLDER_RETURN,FINANCIAL_SPREAD_BALANCE_SHEET,EXTENSION_REFINEMENT,event_premium
meritz_financial_return,138040,메리츠금융지주 주주환원,VALUE_UP_SHAREHOLDER_RETURN,FINANCIAL_SPREAD_BALANCE_SHEET,EXTENSION_REFINEMENT,event_premium
low_pbr_no_roe_bank,BANK_LOW_PBR,저PBR 저ROE 은행,FINANCIAL_SPREAD_BALANCE_SHEET,FINANCIAL_SPREAD_BALANCE_SHEET,STRUCTURAL_E2R,failed_rerating
pf_credit_cost_financial,PF_CREDIT_COST,PF 충당금 금융,FINANCIAL_SPREAD_BALANCE_SHEET,FINANCIAL_SPREAD_BALANCE_SHEET,STRUCTURAL_E2R,4c_thesis_break
sk_square_valueup,402340,SK스퀘어 밸류업,VALUE_UP_SHAREHOLDER_RETURN,FINANCIAL_SPREAD_BALANCE_SHEET,EXTENSION_REFINEMENT,event_premium
korea_zinc_event_premium,010130,고려아연 이벤트 프리미엄,HOLDING_RESTRUCTURING_GOVERNANCE,HOLDING_RESTRUCTURING_GOVERNANCE,RED_YELLOW_GUARDRAIL,event_premium
holding_buyback_no_cancel,HOLD_BUYBACK_NO_CANCEL,자사주 매입 후 미소각 지주,HOLDING_RESTRUCTURING_GOVERNANCE,HOLDING_RESTRUCTURING_GOVERNANCE,RED_YELLOW_GUARDRAIL,failed_rerating
governance_dispute_no_fcf,GOV_NO_FCF,현금흐름 없는 지배구조 분쟁,HOLDING_RESTRUCTURING_GOVERNANCE,HOLDING_RESTRUCTURING_GOVERNANCE,RED_YELLOW_GUARDRAIL,event_premium
hmm_2021_freight_cycle,011200,HMM 운임 사이클,SHIPPING_FREIGHT_CYCLE,SHIPPING_FREIGHT_CYCLE,CYCLICAL_SPREAD_GUARDRAILED,cyclical_success
shipping_overcapacity_4c,SHIP_OVER,해운 공급과잉 4C,SHIPPING_FREIGHT_CYCLE,SHIPPING_FREIGHT_CYCLE,CYCLICAL_SPREAD_GUARDRAILED,4c_thesis_break
refining_spread_recovery,REFINING_SPREAD,정유 스프레드 회복,COMMODITY_SPREAD,COMMODITY_SPREAD,CYCLICAL_SPREAD_GUARDRAILED,cyclical_success
chemical_china_oversupply,CHEM_CHINA_OVER,화학 중국 공급과잉,COMMODITY_SPREAD,COMMODITY_SPREAD,CYCLICAL_SPREAD_GUARDRAILED,4c_thesis_break
ecopro_bm_2023,247540,에코프로비엠,BATTERY_MATERIALS_CAPEX_OVERHEAT,BATTERY_MATERIALS_CAPEX_OVERHEAT,CYCLICAL_SPREAD_GUARDRAILED,overheat
battery_capa_overbuild,BATTERY_OVERBUILD,배터리 소재 CAPA 과잉,BATTERY_MATERIALS_CAPEX_OVERHEAT,BATTERY_MATERIALS_CAPEX_OVERHEAT,CYCLICAL_SPREAD_GUARDRAILED,4c_thesis_break
construction_pf_stress,CONSTRUCTION_PF,건설 PF 스트레스,CONSTRUCTION_REAL_ESTATE_CREDIT,CONSTRUCTION_REAL_ESTATE_CREDIT,CYCLICAL_SPREAD_GUARDRAILED,4c_thesis_break
overseas_infra_margin_contract,OVERSEAS_INFRA,해외 인프라 저마진 계약,CONSTRUCTION_REAL_ESTATE_CREDIT,CONSTRUCTION_REAL_ESTATE_CREDIT,CYCLICAL_SPREAD_GUARDRAILED,failed_rerating
korean_air_reopening,003490,대한항공 리오프닝,TRAVEL_LEISURE_REOPENING,RETAIL_DOMESTIC_CONSUMER,EXTENSION_REFINEMENT,cyclical_success
dutyfree_china_tourism_only,DUTYFREE_CHINA,면세 중국 관광 의존,TRAVEL_LEISURE_REOPENING,RETAIL_DOMESTIC_CONSUMER,EXTENSION_REFINEMENT,failed_rerating
naver_platform_candidate,035420,NAVER 플랫폼 후보,PLATFORM_SOFTWARE_INTERNET,PLATFORM_SOFTWARE_INTERNET,RED_YELLOW_GUARDRAIL,success_candidate
kakao_governance_risk,035720,카카오 거버넌스 리스크,PLATFORM_SOFTWARE_INTERNET,PLATFORM_SOFTWARE_INTERNET,RED_YELLOW_GUARDRAIL,failed_rerating
douzone_saas_candidate,012510,더존비즈온 SaaS 후보,PLATFORM_SOFTWARE_INTERNET,PLATFORM_SOFTWARE_INTERNET,RED_YELLOW_GUARDRAIL,success_candidate
mau_only_platform,MAU_ONLY,MAU만 늘어난 플랫폼,PLATFORM_SOFTWARE_INTERNET,PLATFORM_SOFTWARE_INTERNET,RED_YELLOW_GUARDRAIL,failed_rerating
krafton_ip_candidate,259960,크래프톤 IP 후보,GAME_CONTENT_IP,GAME_CONTENT_IP,RED_YELLOW_GUARDRAIL,success_candidate
new_game_hype_fail,GAME_HYPE_FAIL,신작 기대 실패 게임,GAME_CONTENT_IP,GAME_CONTENT_IP,RED_YELLOW_GUARDRAIL,failed_rerating
rainbow_robotics_samsung,277810,레인보우로보틱스 삼성,ROBOTICS_FACTORY_AUTOMATION,ROBOTICS_FACTORY_AUTOMATION,RED_YELLOW_GUARDRAIL,event_premium
robot_tam_no_revenue,ROBOT_TAM,매출 없는 로봇 TAM,ROBOTICS_FACTORY_AUTOMATION,ROBOTICS_FACTORY_AUTOMATION,RED_YELLOW_GUARDRAIL,overheat
megastudy_education,072870,메가스터디교육,EDUCATION_SPECIALTY_SERVICES,RETAIL_DOMESTIC_CONSUMER,EXTENSION_REFINEMENT,success_candidate
education_policy_regulation,EDU_POLICY,교육 정책 규제,EDUCATION_SPECIALTY_SERVICES,RETAIL_DOMESTIC_CONSUMER,EXTENSION_REFINEMENT,4c_thesis_break
samsung_biologics_cdmo,207940,삼성바이오로직스 CDMO,CDMO_HEALTHCARE_CONTRACT,MEDICAL_DEVICE_HEALTHCARE_EXPORT,EXTENSION_REFINEMENT,structural_success
celltrion_biosimilar,068270,셀트리온 바이오시밀러,BIOTECH_ROYALTY_COMMERCIALIZATION,BIOTECH_REGULATORY,EXTENSION_REFINEMENT,success_candidate
cdmo_capacity_underutilization,CDMO_UNDER,CDMO 가동률 미달,CDMO_HEALTHCARE_CONTRACT,MEDICAL_DEVICE_HEALTHCARE_EXPORT,EXTENSION_REFINEMENT,failed_rerating
yuhan_lazertinib,000100,유한양행 렉라자,BIOTECH_ROYALTY_COMMERCIALIZATION,BIOTECH_REGULATORY,EXTENSION_REFINEMENT,event_premium
alteogen_royalty,196170,알테오젠 로열티,BIOTECH_ROYALTY_COMMERCIALIZATION,BIOTECH_REGULATORY,EXTENSION_REFINEMENT,success_candidate
prerevenue_clinical_biotech,BIO_PRE_REV,전임상 바이오,BIOTECH_PRE_REVENUE_REGULATORY,BIOTECH_REGULATORY,EXTENSION_REFINEMENT,overheat
biotech_cb_dilution,BIO_CB,바이오 CB 희석,BIOTECH_PRE_REVENUE_REGULATORY,BIOTECH_REGULATORY,EXTENSION_REFINEMENT,4c_thesis_break
seegene_2020_red,096530,씨젠,ONE_OFF_EVENT_DEMAND,ONE_OFF_EVENT_DEMAND,RED_YELLOW_GUARDRAIL,one_off
smci_2024_accounting,SMCI,SMCI 회계 이슈,THEME_VALUATION_OVERHEAT,THEME_VALUATION_OVERHEAT,RED_YELLOW_GUARDRAIL,4c_thesis_break
