sub_archetype,large_sector,canonical_archetype,posture,theme_count,theme_tags,must_have_evidence,green_policy
STEEL_METAL_SPREAD,MATERIALS_SPREAD_STRATEGIC,COMMODITY_SPREAD,REDTEAM_FIRST,4,철강 주요업체|철강 중소형업체|강관|건자재 철근,steel_spread|china_supply|inventory_status,Steel needs spread and supply discipline; China supply risk caps Green.
NONFERROUS_STRATEGIC_METALS,MATERIALS_SPREAD_STRATEGIC,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,6,비철금속|구리|리튬|희토류|금은|페라이트,metal_price|cost_curve|supply_constraint,"Strategic metals need cost curve or supply evidence, not price spike only."
ADVANCED_MATERIAL_THEMES,MATERIALS_SPREAD_STRATEGIC,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,5,그래핀|맥신|초전도체|양자 기술|페라이트,commercial_revenue|contract_or_order|technical_validation,Speculative science tags are Green-blocked without commercialization evidence.
EXPORT_RECURRING_CONSUMER,CONSUMER_RETAIL_BRAND,EXPORT_RECURRING_CONSUMER,GREEN_POSSIBLE,5,라면|K푸드|음식료|건강기능식품|음식료 유통,export_growth|channel_expansion|recurring_demand|fy1_fy2_revision,K-food Green does not require contracts but does require repeat demand and revision support.
FOOD_AGRI_LIVESTOCK_CYCLE,CONSUMER_RETAIL_BRAND,COMMODITY_SPREAD,REDTEAM_FIRST,5,양돈주|육계주|참치 원양어업|대두|배합사료,commodity_cycle|feed_cost|inventory_status,Food commodity cycles are capped; avoid structural extrapolation.
RETAIL_CONVENIENCE_OFFLINE,CONSUMER_RETAIL_BRAND,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,3,편의점|홈쇼핑|음식료 유통,same_store_sales|opm_improvement|inventory_turnover,Offline retail needs store efficiency and margin evidence.
ECOMMERCE_FRESH_LOGISTICS,CONSUMER_RETAIL_BRAND,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,5,마켓컬리|오아시스|콜드체인|택배|종합물류,unit_economics|repeat_orders|logistics_margin,"Fresh e-commerce needs unit economics, not GMV headline only."
K_BEAUTY_EXPORT_DISTRIBUTION,CONSUMER_RETAIL_BRAND,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,3,화장품 브랜드|K뷰티|화장품 유통,export_growth|channel_diversification|repeat_orders|opm_roe_improvement,K-beauty Green needs repeat export channel and inventory discipline.
BEAUTY_OEM_ODM_SUPPLYCHAIN,CONSUMER_RETAIL_BRAND,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,4,화장품 OEM|화장품 ODM|화장품 원재료|화장품 부자재,customer_diversification|capacity_utilization|margin_visibility,Beauty supply chain needs customer and utilization evidence.
FINANCIAL_SPREAD_BALANCE_SHEET,FINANCIAL_CAPITAL_DIGITAL,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,4,은행|금융지주회사|생명보험|손해보험,roe|pbr|capital_ratio|credit_cost,Financial Green needs ROE/PBR and balance-sheet quality.
INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_CAPITAL_DIGITAL,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,4,손해보험|생명보험|화재|고배당주,loss_ratio|csm_or_capital|shareholder_return|credit_risk,Insurance needs underwriting and capital evidence.
SECURITIES_BROKERAGE_CYCLE,FINANCIAL_CAPITAL_DIGITAL,FINANCIAL_SPREAD_BALANCE_SHEET,WATCH_YELLOW_FIRST,3,증권사|벤처캐피탈|VC,brokerage_cycle|ib_pipeline|capital_risk,Brokerage cycles need market-cycle caps.
VALUE_UP_SHAREHOLDER_RETURN,FINANCIAL_CAPITAL_DIGITAL,VALUE_UP_SHAREHOLDER_RETURN,GREEN_POSSIBLE,4,밸류업|밸류업 지수|고배당주|부동산 자산 보유,roe|shareholder_return_execution|capital_strength,Value-up tag alone is not evidence; execution matters.
PAYMENT_FINTECH_INFRA,FINANCIAL_CAPITAL_DIGITAL,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,4,결제서비스|토스 관련주|지역화폐|신용정보,transaction_volume|take_rate|regulatory_risk,Fintech needs transaction economics and regulation checks.
DIGITAL_ASSET_TOKENIZATION,FINANCIAL_CAPITAL_DIGITAL,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,5,스테이블코인|STO|디지털자산|블록체인|NFT,regulated_revenue|license_or_partner|cash_flow,Tokenization themes are Green-blocked without regulated revenue.
BIOTECH_PRE_REVENUE_REGULATORY,BIOTECH_HEALTHCARE_DEVICE,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,5,치매치료|희귀질환 치료제|면역세포치료제|줄기세포치료제|이중항체,clinical_milestone|cash_runway|dilution_risk,Pre-revenue biotech is not Green before revenue or royalty conversion.
BIOTECH_ROYALTY_COMMERCIALIZATION,BIOTECH_HEALTHCARE_DEVICE,BIOTECH_ROYALTY_COMMERCIALIZATION,WATCH_YELLOW_FIRST,5,AI 신약개발|비만 치료제|탈모치료|난임|치매치료,approval|partner_launch|royalty_or_revenue,"Biotech can improve after commercialization evidence, not clinical headline alone."
CDMO_HEALTHCARE_CONTRACT,BIOTECH_HEALTHCARE_DEVICE,CDMO_HEALTHCARE_CONTRACT,GREEN_POSSIBLE,5,CMO|원료의약품|바이오시밀러|CRO|임상시험수탁,long_term_contract|capacity_utilization|customer_diversification|fcf_conversion,CDMO is contract/utilization driven and separated from trial-stage biotech.
DIAGNOSTICS_INFECTIOUS_DISEASE,BIOTECH_HEALTHCARE_DEVICE,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,5,전염병 진단|코로나19 제약|엠폭스|동물백신|방역,recurring_non_event_demand|revenue_after_event|margin_normalization,Infectious disease demand is one-off until recurring demand is proven.
MEDICAL_DEVICE_HEALTHCARE_EXPORT,BIOTECH_HEALTHCARE_DEVICE,MEDICAL_DEVICE_HEALTHCARE_EXPORT,GREEN_POSSIBLE,5,미용기기|치아|임플란트|보툴리눔 톡신|수술용 로봇,export_growth|consumable_repeat_revenue|regulatory_approval|opm_roe_improvement,Medical device Green needs repeat revenue and export/channel support.
DIGITAL_HEALTHCARE_AI,BIOTECH_HEALTHCARE_DEVICE,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,4,의료 AI|원격의료|유전체검사|마이크로바이옴,reimbursement_or_contract|recurring_revenue|regulatory_clearance,Digital healthcare needs monetization and regulation evidence.
CANNABIS_REGULATED_HEALTH,BIOTECH_HEALTHCARE_DEVICE,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,3,마리화나|대마초|규제형 바이오 이벤트,legal_revenue|regulatory_approval|cash_flow,Cannabis themes remain RedTeam-first without legal revenue.
PLATFORM_SOFTWARE_INTERNET,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,4,클라우드 컴퓨팅|원격근무|컨택센터|광고,arpu|recurring_revenue|opm_leverage,Platform needs monetization and margin leverage.
GAME_CONTENT_IP,PLATFORM_CONTENT_SW_SECURITY,GAME_CONTENT_IP,WATCH_YELLOW_FIRST,5,게임|엔터|미디어 콘텐츠|음원서비스|방송·언론,ip_repeatability|global_revenue|op_eps_revision,"Content/IP needs repeat monetization, not launch hype only."
METAVERSE_NFT_THEME,PLATFORM_CONTENT_SW_SECURITY,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,4,메타버스|NFT|디지털자산|STO,revenue_conversion|user_monetization|regulatory_risk,Metaverse/NFT stays theme-risk until monetization is proven.
AI_SOFTWARE_APPLICATION,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,4,인공지능 AI|AI 신약개발|의료AI|딥페이크,paid_usage|cost_efficiency|opm_leverage,AI software needs paid usage and cost/margin proof.
SECURITY_IDENTITY_INFRA,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,4,IT보안|생체인식|CCTV|딥페이크,recurring_contract|security_demand|op_eps_revision,Security infra needs recurring contract evidence.
EDUCATION_SPECIALTY_SERVICES,PLATFORM_CONTENT_SW_SECURITY,EDUCATION_SPECIALTY_SERVICES,WATCH_YELLOW_FIRST,4,교육|취업일자리|키즈|유아용품,enrollment_or_user_growth|opm_leverage|policy_risk,Education services need recurring revenue and policy risk checks.
AIRLINE_TRAVEL_CYCLE,MOBILITY_TRANSPORT_LEISURE,TRAVEL_LEISURE_REOPENING,WATCH_YELLOW_FIRST,3,항공사|여행·레저|야놀자 관련주,traffic_recovery|yield_or_margin|cost_risk,"Travel tags need traffic, yield, and margin evidence."
CASINO_DUTYFREE_TOURISM,MOBILITY_TRANSPORT_LEISURE,TRAVEL_LEISURE_REOPENING,WATCH_YELLOW_FIRST,3,카지노|면세점|금강산 관광,visitor_mix|drop_or_sales|opm_leverage,Tourism needs visitor mix and margin evidence; policy events stay capped.
SHIPPING_FREIGHT_CYCLE,MOBILITY_TRANSPORT_LEISURE,SHIPPING_FREIGHT_CYCLE,REDTEAM_FIRST,3,해운|택배|종합물류,freight_rate|contract_vs_spot|vessel_supply,Shipping is cycle-heavy; Green is very restricted.
AUTO_COMPLETED_VEHICLE,MOBILITY_TRANSPORT_LEISURE,AUTO_MOBILITY_COMPLETED_VEHICLE,WATCH_YELLOW_FIRST,4,현대차|기아|자동차 연비개선|경량화,mix_improvement|roe_fcf|shareholder_return,Completed vehicle needs ROE/FCF and capital allocation proof.
AUTO_COMPONENTS_EV_ADAS,MOBILITY_TRANSPORT_LEISURE,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,4,자율주행|전기차 부품|카메라|스마트폰 부품,customer_diversification|content_per_vehicle|opm_improvement,Auto components need customer diversification and margin proof.
RENTAL_USED_CAR_MOBILITY,MOBILITY_TRANSPORT_LEISURE,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,3,렌터카|중고차|자전거,fleet_margin|residual_value|demand_visibility,Mobility services need margin and asset value checks.
URBAN_AIR_DRONE,MOBILITY_TRANSPORT_LEISURE,DEFENSE_GOVERNMENT_BACKLOG,REDTEAM_FIRST,4,드론|플라잉카|항공우주|스페이스X,government_or_commercial_order|revenue_conversion|regulatory_approval,Drone/UAM themes need order or revenue conversion.
CONSTRUCTION_REAL_ESTATE_CREDIT,CONSTRUCTION_REAL_ESTATE_MATERIALS,CONSTRUCTION_REAL_ESTATE_CREDIT,REDTEAM_FIRST,3,대형 건설사|중소형 건설사|부동산 자산 보유,pf_exposure|cash_flow|credit_risk,Construction remains credit-risk first.
REIT_DEVELOPMENT_TRUST,CONSTRUCTION_REAL_ESTATE_MATERIALS,VALUE_UP_SHAREHOLDER_RETURN,WATCH_YELLOW_FIRST,3,부동산 개발신탁리츠|리츠|부동산 자산 보유,nav_discount|cash_yield|debt_cost,"REITs need NAV, yield, and debt-cost evidence."
BUILDING_MATERIALS_CYCLE,CONSTRUCTION_REAL_ESTATE_MATERIALS,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,7,건자재|시멘트|레미콘|콘크리트|철근|거푸집|가구,price_hike|volume|cost_spread|housing_cycle,Building materials are cycle/spread sensitive.
INFRA_RECONSTRUCTION_POLICY,CONSTRUCTION_REAL_ESTATE_MATERIALS,CONTRACT_BACKLOG_INDUSTRIAL,REDTEAM_FIRST,4,우크라 재건|네옴시티|세종시|철도,funded_order|contract_economics|delivery_schedule,Reconstruction policy themes need confirmed orders.
DISASTER_REBUILD_EVENT,CONSTRUCTION_REAL_ESTATE_MATERIALS,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,4,지진|폭염|재난복구|건자재 이벤트,actual_order|repeat_demand|margin_visibility,Disaster rebuild is event demand unless repeat orders exist.
NORTH_KOREA_POLICY_EVENT,POLICY_GEOPOLITICAL_EVENT,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,5,남북경협|DMZ|개성공단|금강산 관광|광물자원개발,binding_policy|funded_project|revenue_visibility,North Korea policy events are Green-blocked without binding revenue.
GEOPOLITICAL_RECONSTRUCTION,POLICY_GEOPOLITICAL_EVENT,CONTRACT_BACKLOG_INDUSTRIAL,REDTEAM_FIRST,4,우크라 재건|네옴시티|원전 수출|철도,contract_award|funding|supplier_margin,Geopolitical reconstruction needs funded contract evidence.
CLIMATE_DISASTER_EVENT,POLICY_GEOPOLITICAL_EVENT,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,6,폭염|황사|미세먼지|공기정화|마스크|지진,repeat_demand|sell_through|margin_visibility,Climate/disaster demand is event-driven unless recurrence is proven.
INFECTIOUS_DISEASE_EVENT,POLICY_GEOPOLITICAL_EVENT,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,4,엠폭스|코로나19|전염병 진단|빈대퇴치,recurring_non_event_demand|post_event_revenue|margin_normalization,Disease/pest themes are one-off until proven recurring.
SPECULATIVE_SCIENCE_THEME,POLICY_GEOPOLITICAL_EVENT,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,4,초전도체|맥신|그래핀|양자 기술,commercial_revenue|contract_or_order|technical_validation,Speculative science is a RedTeam-first tag.
POLICY_LOCAL_THEME,POLICY_GEOPOLITICAL_EVENT,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,3,세종시|지역화폐|취업일자리,policy_execution|revenue_visibility|funding,Local policy themes need execution and revenue evidence.
SMART_FARM_AGRI_TECH,EDUCATION_LIFE_AGRI_MISC,ROBOTICS_FACTORY_AUTOMATION,WATCH_YELLOW_FIRST,5,스마트팜|농업 종자|비료|농약|농기계,order_or_adoption|revenue_conversion|margin_visibility,Smart farm needs adoption and revenue conversion.
LIVESTOCK_FISHERY_CYCLE,EDUCATION_LIFE_AGRI_MISC,COMMODITY_SPREAD,REDTEAM_FIRST,4,양돈주|육계주|참치 원양어업|배합사료,commodity_cycle|feed_cost|price_pass_through,Livestock/fishery is cycle-heavy.
HOME_CHILD_EDUCATION,EDUCATION_LIFE_AGRI_MISC,EDUCATION_SPECIALTY_SERVICES,WATCH_YELLOW_FIRST,4,키즈|유아용품|교육|밥솥,recurring_demand|channel_expansion|margin_visibility,Home/child/education needs recurring demand.
WASTE_RECYCLING_ENVIRONMENT,EDUCATION_LIFE_AGRI_MISC,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,3,폐기물처리|폐배터리|탈 플라스틱,regulated_demand|capacity_utilization|margin_visibility,Environmental services need regulated demand and utilization evidence.
SERVICE_KIOSK_AUTOMATION,EDUCATION_LIFE_AGRI_MISC,ROBOTICS_FACTORY_AUTOMATION,WATCH_YELLOW_FIRST,3,키오스크|컨택센터|스마트홈,customer_adoption|recurring_revenue|opm_leverage,Service automation needs adoption and margin leverage.
