theme_tag,large_sector,primary_archetype,canonical_archetype,posture,green_policy,mapped,mapped_via,matched_theme_tag,must_have_evidence,red_flag_evidence,theme_is_score_input,production_scoring_changed,source_round,mapping_note
화장품 원재료·부자재,소비재·유통·브랜드,BEAUTY_OEM_ODM_SUPPLYCHAIN,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,watch_to_green,true,round16_sub_archetype,화장품 OEM,customer_diversification|capacity_utilization|margin_visibility,,false,false,round10,
의류 브랜드,소비재·유통·브랜드,APPAREL_BRAND_OEM,EXPORT_RECURRING_CONSUMER,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,의류 브랜드,order_visibility|brand_momentum|inventory_status,,false,false,round10,
의류 OEM·ODM,소비재·유통·브랜드,APPAREL_BRAND_OEM,EXPORT_RECURRING_CONSUMER,WATCH_YELLOW_FIRST,watch_only,true,round16_sub_archetype,의류 브랜드,order_visibility|brand_momentum|inventory_status,,false,false,round10,
손해보험,금융·자본배분·디지털금융,INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,green_allowed,true,round16_exact_theme,손해보험,loss_ratio|csm_or_capital|shareholder_return|credit_risk,,false,false,round10,
생명보험,금융·자본배분·디지털금융,INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,watch_to_green,true,round16_exact_theme,생명보험,loss_ratio|csm_or_capital|shareholder_return|credit_risk,,false,false,round10,
은행,금융·자본배분·디지털금융,FINANCIAL_SPREAD_BALANCE_SHEET,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,green_allowed,true,round16_exact_theme,은행,roe|pbr|capital_ratio|credit_cost,,false,false,round10,
금융지주회사,금융·자본배분·디지털금융,FINANCIAL_SPREAD_BALANCE_SHEET,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,green_allowed,true,round16_exact_theme,금융지주회사,roe|pbr|capital_ratio|credit_cost,,false,false,round10,
증권사,금융·자본배분·디지털금융,SECURITIES_BROKERAGE_CYCLE,FINANCIAL_SPREAD_BALANCE_SHEET,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,증권사,brokerage_cycle|ib_pipeline|capital_risk,,false,false,round10,
벤처캐피탈,금융·자본배분·디지털금융,SECURITIES_BROKERAGE_CYCLE,FINANCIAL_SPREAD_BALANCE_SHEET,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,벤처캐피탈,brokerage_cycle|ib_pipeline|capital_risk,,false,false,round10,
고배당주,금융·자본배분·디지털금융,VALUE_UP_SHAREHOLDER_RETURN,VALUE_UP_SHAREHOLDER_RETURN,GREEN_POSSIBLE,watch_to_green,true,round16_exact_theme,고배당주,roe|shareholder_return_execution|capital_strength,,false,false,round10,
밸류업 지수 편입,금융·자본배분·디지털금융,VALUE_UP_SHAREHOLDER_RETURN,VALUE_UP_SHAREHOLDER_RETURN,GREEN_POSSIBLE,watch_only,true,round16_sub_archetype,밸류업,roe|shareholder_return_execution|capital_strength,,false,false,round10,
결제서비스,금융·자본배분·디지털금융,PAYMENT_FINTECH_INFRA,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,watch_to_green,true,round16_exact_theme,결제서비스,transaction_volume|take_rate|regulatory_risk,,false,false,round10,
토스 관련주,금융·자본배분·디지털금융,PAYMENT_FINTECH_INFRA,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,event_watch,true,round16_exact_theme,토스 관련주,transaction_volume|take_rate|regulatory_risk,,false,false,round10,
STO,금융·자본배분·디지털금융,DIGITAL_ASSET_TOKENIZATION,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,watch_only,true,round16_exact_theme,STO,regulated_revenue|license_or_partner|cash_flow,,false,false,round10,
스테이블코인,금융·자본배분·디지털금융,DIGITAL_ASSET_TOKENIZATION,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,watch_only,true,round16_exact_theme,스테이블코인,regulated_revenue|license_or_partner|cash_flow,,false,false,round10,
NFT,플랫폼·콘텐츠·SW·보안,METAVERSE_NFT_THEME,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,red_flag,true,round16_exact_theme,NFT,revenue_conversion|user_monetization|regulatory_risk,,false,false,round10,
디지털자산·블록체인,금융·자본배분·디지털금융,DIGITAL_ASSET_TOKENIZATION,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,watch_only,true,round16_sub_archetype,스테이블코인,regulated_revenue|license_or_partner|cash_flow,,false,false,round10,
전력설비,산업재·수주·인프라,CONTRACT_BACKLOG_INDUSTRIAL,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,green_allowed,true,round16_exact_theme,전력설비,contract_or_order|backlog|op_eps_revision|margin_visibility,,false,false,round10,
전선·케이블,산업재·수주·인프라,CONTRACT_BACKLOG_INDUSTRIAL,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,green_allowed,true,round16_exact_theme,전선-케이블,contract_or_order|backlog|op_eps_revision|margin_visibility,,false,false,round10,
피팅밸브,산업재·수주·인프라,SHIPBUILDING_OFFSHORE_BACKLOG,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,watch_to_green,true,round16_exact_theme,피팅밸브,orderbook_quality|newbuild_price|low_margin_backlog_clearance|op_revision,,false,false,round10,
방위산업,산업재·수주·인프라,DEFENSE_GOVERNMENT_BACKLOG,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,green_allowed,true,round16_exact_theme,방위산업,government_customer|multi_year_contract|delivery_schedule|op_eps_revision,,false,false,round10,
항공우주,산업재·수주·인프라,DEFENSE_GOVERNMENT_BACKLOG,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,watch_to_green,true,round16_exact_theme,항공우주,government_customer|multi_year_contract|delivery_schedule|op_eps_revision,,false,false,round10,
조선,산업재·수주·인프라,SHIPBUILDING_OFFSHORE_BACKLOG,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,green_allowed,true,round16_exact_theme,조선,orderbook_quality|newbuild_price|low_margin_backlog_clearance|op_revision,,false,false,round10,
조선 기자재,산업재·수주·인프라,SHIPBUILDING_OFFSHORE_BACKLOG,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,watch_to_green,true,round16_exact_theme,조선 기자재,orderbook_quality|newbuild_price|low_margin_backlog_clearance|op_revision,,false,false,round10,
LNG선 기자재,산업재·수주·인프라,SHIPBUILDING_OFFSHORE_BACKLOG,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,watch_to_green,true,round16_exact_theme,LNG선 기자재,orderbook_quality|newbuild_price|low_margin_backlog_clearance|op_revision,,false,false,round10,
원자력·원전,산업재·수주·인프라,NUCLEAR_SMR_GRID_POLICY,NUCLEAR_SMR_GRID_POLICY,WATCH_YELLOW_FIRST,watch_to_green,true,round16_sub_archetype,원자력,binding_contract|permitted_project_timeline|supplier_revenue_visibility,,false,false,round10,
철도,산업재·수주·인프라,RAIL_INFRASTRUCTURE,CONTRACT_BACKLOG_INDUSTRIAL,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,철도,funded_project|confirmed_order|margin_visibility,,false,false,round10,
건설기계,산업재·수주·인프라,CONTRACT_BACKLOG_INDUSTRIAL,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,watch_to_green,true,round16_exact_theme,건설기계,contract_or_order|backlog|op_eps_revision|margin_visibility,,false,false,round10,
우크라 재건,정책·지정학·재난·이벤트,GEOPOLITICAL_RECONSTRUCTION,CONTRACT_BACKLOG_INDUSTRIAL,REDTEAM_FIRST,event_watch,true,round16_exact_theme,우크라 재건,contract_award|funding|supplier_margin,,false,false,round10,
네옴시티,정책·지정학·재난·이벤트,GEOPOLITICAL_RECONSTRUCTION,CONTRACT_BACKLOG_INDUSTRIAL,REDTEAM_FIRST,event_watch,true,round16_exact_theme,네옴시티,contract_award|funding|supplier_margin,,false,false,round10,
세종시,정책·지정학·재난·이벤트,POLICY_LOCAL_THEME,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,event_only,true,round16_exact_theme,세종시,policy_execution|revenue_visibility|funding,,false,false,round10,
남북경협,정책·지정학·재난·이벤트,NORTH_KOREA_POLICY_EVENT,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,event_only,true,round16_exact_theme,남북경협,binding_policy|funded_project|revenue_visibility,,false,false,round10,
금강산 관광,정책·지정학·재난·이벤트,NORTH_KOREA_POLICY_EVENT,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,event_only,true,round16_exact_theme,금강산 관광,binding_policy|funded_project|revenue_visibility,,false,false,round10,
개성공단,정책·지정학·재난·이벤트,NORTH_KOREA_POLICY_EVENT,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,event_only,true,round16_exact_theme,개성공단,binding_policy|funded_project|revenue_visibility,,false,false,round10,
반도체-HBM,AI·반도체·전자부품,MEMORY_HBM_CAPACITY,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,green_allowed,true,round16_exact_theme,반도체-HBM,memory_price|hbm_demand|supply_discipline|medium_term_revision,,false,false,round10,
반도체-CXL,AI·반도체·전자부품,MEMORY_HBM_CAPACITY,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,watch_only,true,round16_sub_archetype,HBM,memory_price|hbm_demand|supply_discipline|medium_term_revision,,false,false,round10,
시스템반도체,AI·반도체·전자부품,AI_CHIP_FABRIC_INFRA,AI_DATA_CENTER_INFRASTRUCTURE,REDTEAM_FIRST,watch_to_green,true,round16_exact_theme,시스템반도체,direct_exposure|orders_or_revenue|revision_support,,false,false,round10,
뉴로모픽 반도체,AI·반도체·전자부품,AI_CHIP_FABRIC_INFRA,AI_DATA_CENTER_INFRASTRUCTURE,REDTEAM_FIRST,watch_only,true,round16_exact_theme,뉴로모픽 반도체,direct_exposure|orders_or_revenue|revision_support,,false,false,round10,
퓨리오사AI 관련주,AI·반도체·전자부품,AI_CHIP_FABRIC_INFRA,AI_DATA_CENTER_INFRASTRUCTURE,REDTEAM_FIRST,event_watch,true,round16_exact_theme,퓨리오사AI 관련주,direct_exposure|orders_or_revenue|revision_support,,false,false,round10,
반도체 전공정 장비,AI·반도체·전자부품,SEMI_EQUIPMENT_CAPEX,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,watch_to_green,true,round16_exact_theme,반도체 전공정 장비,customer_capex|orders|revenue_conversion|customer_diversification,,false,false,round10,
반도체 후공정 장비,AI·반도체·전자부품,SEMI_EQUIPMENT_CAPEX,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,watch_to_green,true,round16_exact_theme,반도체 후공정 장비,customer_capex|orders|revenue_conversion|customer_diversification,,false,false,round10,
반도체 전공정 소재,AI·반도체·전자부품,SEMI_MATERIALS_PROCESS,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,watch_to_green,true,round16_exact_theme,반도체 전공정 소재,customer_qualification|volume_ramp|margin_visibility,,false,false,round10,
반도체 후공정 소재,AI·반도체·전자부품,SEMI_MATERIALS_PROCESS,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,watch_to_green,true,round16_exact_theme,반도체 후공정 소재,customer_qualification|volume_ramp|margin_visibility,,false,false,round10,
PCB,AI·반도체·전자부품,ADVANCED_PACKAGING_PCB,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,green_allowed,true,round16_exact_theme,PCB,ai_server_demand|order_visibility|capacity_constraint|op_eps_revision,,false,false,round10,
유리기판,AI·반도체·전자부품,ADVANCED_PACKAGING_PCB,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,watch_only,true,round16_exact_theme,유리기판,ai_server_demand|order_visibility|capacity_constraint|op_eps_revision,,false,false,round10,
OLED 장비,AI·반도체·전자부품,DISPLAY_OLED_EQUIPMENT,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,OLED 장비,panel_capex|orders|margin_visibility,,false,false,round10,
OLED 소재·부품,AI·반도체·전자부품,DISPLAY_OLED_EQUIPMENT,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,OLED 소재부품,panel_capex|orders|margin_visibility,,false,false,round10,
MLCC,AI·반도체·전자부품,ELECTRONIC_COMPONENTS,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,MLCC,customer_diversification|content_growth|margin_improvement,,false,false,round10,
스마트폰 부품·소재,AI·반도체·전자부품,ELECTRONIC_COMPONENTS,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,watch_only,true,round16_sub_archetype,MLCC,customer_diversification|content_growth|margin_improvement,,false,false,round10,
카메라,모빌리티·운송·레저,AUTO_MOBILITY_COMPONENTS,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,카메라,customer_diversification|content_growth|margin_improvement,,false,false,round10,
무선충전,AI·반도체·전자부품,ELECTRONIC_COMPONENTS,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,red_watch,true,round16_exact_theme,무선충전,customer_diversification|content_growth|margin_improvement,,false,false,round10,
2차전지 소재,2차전지·전기차·친환경,BATTERY_MATERIALS_CAPEX_OVERHEAT,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_FIRST,watch_only,true,round16_exact_theme,2차전지 소재,contract_quality|price_pass_through|demand_visibility|fcf_after_capex,,false,false,round10,
2차전지 부품,2차전지·전기차·친환경,BATTERY_EQUIPMENT_PARTS,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,2차전지 부품,customer_orders|capex_visibility|margin_visibility,,false,false,round10,
2차전지 공정장비,2차전지·전기차·친환경,BATTERY_EQUIPMENT_PARTS,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,watch_to_green,true,round16_exact_theme,2차전지 공정장비,customer_orders|capex_visibility|margin_visibility,,false,false,round10,
폐배터리,2차전지·전기차·친환경,BATTERY_RECYCLING_ESS_SHIFT,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,폐배터리,ess_demand|recycling_volume|utilization_improvement|fcf_after_capex,ev_headline_only|mineral_price_dependency|recycling_volume_absent|margin_unclear,false,false,round14,
전고체 배터리,2차전지·전기차·친환경,BATTERY_RECYCLING_ESS_SHIFT,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,red_watch,true,round16_exact_theme,전고체 배터리,ess_demand|recycling_volume|utilization_improvement|fcf_after_capex,ev_headline_only|mineral_price_dependency|recycling_volume_absent|margin_unclear,false,false,round14,
전기차 인프라,2차전지·전기차·친환경,EV_INFRASTRUCTURE,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,전기차 인프라,utilization|policy_support|recurring_revenue,,false,false,round10,
전기차 화재,2차전지·전기차·친환경,BATTERY_RECYCLING_ESS_SHIFT,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,red_flag,true,round16_exact_theme,전기차 화재,ess_demand|recycling_volume|utilization_improvement|fcf_after_capex,ev_headline_only|mineral_price_dependency|recycling_volume_absent|margin_unclear,false,false,round14,
수소차 연료전지,2차전지·전기차·친환경,HYDROGEN_FUEL_CELL_INFRA,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,watch_to_green,true,round16_exact_theme,수소차 연료전지,commercial_revenue|production_capacity|customer_demand|cost_curve,policy_dependency|no_revenue|utilization_down|project_delay,false,false,round12,
수소차 인프라,2차전지·전기차·친환경,HYDROGEN_FUEL_CELL_INFRA,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,watch_only,true,round16_exact_theme,수소차 인프라,commercial_revenue|production_capacity|customer_demand|cost_curve,policy_dependency|no_revenue|utilization_down|project_delay,false,false,round12,
태양광,2차전지·전기차·친환경,SOLAR_TARIFF_SUPPLYCHAIN,UTILITIES_REGULATED_TARIFF,REDTEAM_FIRST,watch_only,true,round16_exact_theme,태양광,tariff_visibility|supply_chain_clearance|subsidy_support|utilization,tariff_delay|customs_hold|subsidy_cut|supply_chain_disruption,false,false,round12,
풍력,2차전지·전기차·친환경,RENEWABLE_ENERGY_POLICY,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,풍력,tariff_or_policy|project_backlog|margin_visibility,,false,false,round10,
탄소배출권,2차전지·전기차·친환경,RENEWABLE_ENERGY_POLICY,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,event_watch,true,round16_exact_theme,탄소배출권,tariff_or_policy|project_backlog|margin_visibility,,false,false,round10,
LNG 발전유통,2차전지·전기차·친환경,ENERGY_DISTRIBUTION_FUEL,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,LNG 발전유통,spread|inventory_status|demand_visibility,,false,false,round10,
화학,소재·스프레드·전략자원,CHEMICAL_SPREAD,COMMODITY_SPREAD,REDTEAM_FIRST,red_watch,true,round16_exact_theme,화학,product_spread|inventory_status|capacity_discipline,,false,false,round10,
정유,소재·스프레드·전략자원,REFINING_OIL_SPREAD,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,정유,refining_margin|inventory_status|demand_visibility,,false,false,round10,
윤활유,소재·스프레드·전략자원,REFINING_OIL_SPREAD,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,watch_to_green,true,round16_exact_theme,윤활유,refining_margin|inventory_status|demand_visibility,,false,false,round10,
철강 주요업체,소재·스프레드·전략자원,STEEL_METAL_SPREAD,COMMODITY_SPREAD,REDTEAM_FIRST,watch_only,true,round16_exact_theme,철강 주요업체,steel_spread|china_supply|inventory_status,,false,false,round10,
철강 중소형업체,소재·스프레드·전략자원,STEEL_METAL_SPREAD,COMMODITY_SPREAD,REDTEAM_FIRST,red_watch,true,round16_exact_theme,철강 중소형업체,steel_spread|china_supply|inventory_status,,false,false,round10,
비철금속,소재·스프레드·전략자원,NONFERROUS_STRATEGIC_METALS,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,비철금속,metal_price|cost_curve|supply_constraint,,false,false,round10,
구리,소재·스프레드·전략자원,NONFERROUS_STRATEGIC_METALS,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,구리,metal_price|cost_curve|supply_constraint,,false,false,round10,
리튬,소재·스프레드·전략자원,BATTERY_MATERIALS_CAPEX_OVERHEAT,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_FIRST,red_watch,true,round16_exact_theme,리튬,contract_quality|price_pass_through|demand_visibility|fcf_after_capex,,false,false,round10,
희토류,소재·스프레드·전략자원,RARE_METALS_STRATEGIC_MATERIALS,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,event_watch,true,round16_exact_theme,희토류,metal_price|cost_curve|supply_constraint,,false,false,round10,
금은,소재·스프레드·전략자원,COMMODITY_SPREAD,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme_fallback,금은,metal_price|cost_curve|supply_constraint,,false,false,round10,
초전도체,정책·지정학·재난·이벤트,SPECULATIVE_SCIENCE_THEME,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,red_flag,true,round16_exact_theme,초전도체,commercial_revenue|contract_or_order|technical_validation,,false,false,round10,
맥신,정책·지정학·재난·이벤트,SPECULATIVE_SCIENCE_THEME,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,red_flag,true,round16_exact_theme,맥신,commercial_revenue|contract_or_order|technical_validation,,false,false,round10,
그래핀,정책·지정학·재난·이벤트,SPECULATIVE_SCIENCE_THEME,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,red_flag,true,round16_exact_theme,그래핀,commercial_revenue|contract_or_order|technical_validation,,false,false,round10,
양자 기술,정책·지정학·재난·이벤트,SPECULATIVE_SCIENCE_THEME,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,red_watch,true,round16_exact_theme,양자 기술,commercial_revenue|contract_or_order|technical_validation,,false,false,round10,
게임,플랫폼·콘텐츠·SW·보안,GAME_CONTENT_IP,GAME_CONTENT_IP,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,게임,ip_repeatability|global_revenue|op_eps_revision,,false,false,round10,
엔터,플랫폼·콘텐츠·SW·보안,GAME_CONTENT_IP,GAME_CONTENT_IP,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,엔터,ip_repeatability|global_revenue|op_eps_revision,,false,false,round10,
미디어 콘텐츠,플랫폼·콘텐츠·SW·보안,GAME_CONTENT_IP,GAME_CONTENT_IP,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,미디어 콘텐츠,ip_repeatability|global_revenue|op_eps_revision,,false,false,round10,
음원서비스,플랫폼·콘텐츠·SW·보안,GAME_CONTENT_IP,GAME_CONTENT_IP,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,음원서비스,ip_repeatability|global_revenue|op_eps_revision,,false,false,round10,
광고,플랫폼·콘텐츠·SW·보안,MEDIA_AD_CONTENT_CYCLE,GAME_CONTENT_IP,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,광고,ad_recovery|ip_repeatability|global_revenue|opm_leverage,hit_driven_miss|single_ip_dependence|ad_cycle_down|contract_scandal,false,false,round12,
클라우드 컴퓨팅,플랫폼·콘텐츠·SW·보안,CLOUD_AI_SOFTWARE_INFRA,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,watch_to_green,true,round16_exact_theme,클라우드 컴퓨팅,recurring_revenue|paid_usage|arpu|opm_leverage,mau_without_monetization|ai_cost_overrun|regulatory_risk|churn,false,false,round12,
인공지능 AI,플랫폼·콘텐츠·SW·보안,AI_SOFTWARE_APPLICATION,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,인공지능 AI,paid_usage|cost_efficiency|opm_leverage,,false,false,round10,
IT보안,플랫폼·콘텐츠·SW·보안,SECURITY_IDENTITY_DEEPFAKE,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,watch_to_green,true,round16_exact_theme,IT보안,recurring_contract|security_demand|regulatory_demand|op_eps_revision,theme_only_security|budget_cut|churn|no_recurring_revenue,false,false,round12,
딥페이크,플랫폼·콘텐츠·SW·보안,SECURITY_IDENTITY_DEEPFAKE,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,딥페이크,recurring_contract|security_demand|regulatory_demand|op_eps_revision,theme_only_security|budget_cut|churn|no_recurring_revenue,false,false,round12,
생체인식,플랫폼·콘텐츠·SW·보안,SECURITY_IDENTITY_DEEPFAKE,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,생체인식,recurring_contract|security_demand|regulatory_demand|op_eps_revision,theme_only_security|budget_cut|churn|no_recurring_revenue,false,false,round12,
CCTV,플랫폼·콘텐츠·SW·보안,SECURITY_IDENTITY_DEEPFAKE,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,CCTV,recurring_contract|security_demand|regulatory_demand|op_eps_revision,theme_only_security|budget_cut|churn|no_recurring_revenue,false,false,round12,
메타버스,플랫폼·콘텐츠·SW·보안,METAVERSE_NFT_THEME,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,red_watch,true,round16_exact_theme,메타버스,revenue_conversion|user_monetization|regulatory_risk,,false,false,round10,
항공사,모빌리티·운송·레저,AIRLINE_TRAVEL_CYCLE,TRAVEL_LEISURE_REOPENING,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,항공사,traffic_recovery|yield_or_margin|cost_risk,,false,false,round10,
여행·레저,모빌리티·운송·레저,TRAVEL_LEISURE_REOPENING,TRAVEL_LEISURE_REOPENING,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,여행·레저,traffic_recovery|yield_or_margin|cost_risk,,false,false,round10,
야놀자 관련주,모빌리티·운송·레저,TRAVEL_LEISURE_REOPENING,TRAVEL_LEISURE_REOPENING,WATCH_YELLOW_FIRST,event_watch,true,round16_exact_theme,야놀자 관련주,traffic_recovery|yield_or_margin|cost_risk,,false,false,round10,
