case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,validation_group,evidence_fields,red_flag_fields,price_validation_status,production_input,notes
cold_chain_energy_cost_4c,COLD_CHAIN_REIT_LOGISTICS,COLD_ENERGY_4C,Cold chain energy cost 4C,GLOBAL,4c_thesis_break,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,reit_utility_like,temperature_controlled_logistics,energy_cost_spike|dividend_coverage_break,needs_price_backfill,false,Energy-cost spike can break cold-storage economics.
pharma_food_cold_chain_recurring_contract_candidate,COLD_CHAIN_REIT_LOGISTICS,COLD_RECUR,Pharma food cold-chain recurring contract candidate,GLOBAL,success_candidate,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,reit_utility_like,long_term_tenant_contract|noi_affo_growth|occupancy,tenant_concentration|energy_cost,needs_price_backfill,false,Recurring pharma/food contracts are stronger than logistics theme labels.
data_center_water_reuse_tax_credit_candidate,DATA_CENTER_WATER_REUSE_INFRA,DC_WATER_TC,Data center water reuse tax credit candidate,US,event_premium,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,infra_utility_like,datacenter_water_use|water_reuse,policy_dependency|no_customer,needs_price_backfill,false,Tax credit is an event signal until customer contracts appear.
datacenter_water_opposition_4c,DATA_CENTER_WATER_REUSE_INFRA,DC_WATER_OPP_4C,Datacenter water opposition 4C,US,4c_thesis_break,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,infra_utility_like,municipal_water_infra,local_opposition|permitting_denial,needs_price_backfill,false,Local water opposition can break data-center projects.
water_reuse_no_customer_counterexample,DATA_CENTER_WATER_REUSE_INFRA,WATER_NOCUST,Water reuse no customer counterexample,GLOBAL,failed_rerating,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,infra_utility_like,water_reuse,no_customer|project_economics,needs_price_backfill,false,Water-reuse theme without customer revenue remains weak.
closed_loop_cooling_service_candidate,DATA_CENTER_WATER_REUSE_INFRA,CLOSED_LOOP,Closed-loop cooling service candidate,GLOBAL,success_candidate,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,infra_utility_like,closed_loop_cooling|recurring_service_revenue|water_savings_metric,project_economics|policy_dependency,needs_price_backfill,false,Closed-loop cooling can support Watch-to-Green when service revenue is visible.
ses_airline_connectivity_backlog_candidate,SATELLITE_CONNECTIVITY_INFRA,SES_AIR,SES airline connectivity backlog candidate,EU,success_candidate,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,software_recurring,airline_connectivity|backlog_growth|recurring_service_revenue,capex_debt|customer_concentration,needs_price_backfill,false,Airline connectivity contracts and backlog are recurring service evidence.
satellite_capex_debt_counterexample,SATELLITE_CONNECTIVITY_INFRA,SAT_DEBT,Satellite capex debt counterexample,GLOBAL,failed_rerating,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,software_recurring,satellite_connectivity,capex_debt|debt_stress,needs_price_backfill,false,Connectivity growth can be offset by capex/debt pressure.
spacex_theme_no_revenue_counterexample,SATELLITE_CONNECTIVITY_INFRA,SPACEX_THEME,SpaceX theme no revenue counterexample,GLOBAL,failed_rerating,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,software_recurring,satellite_connectivity,spacex_theme_only|customer_loss,needs_price_backfill,false,SpaceX-related label without revenue is not score evidence.
secure_comms_defense_connectivity_candidate,SATELLITE_CONNECTIVITY_INFRA,SAT_SECURE,Secure comms defense connectivity candidate,GLOBAL,success_candidate,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,software_recurring,secure_comms|airline_or_defense_contract,launch_delay|capex_debt,needs_price_backfill,false,Defense secure communications can support recurring connectivity visibility.
palantir_maven_contract_candidate,DEFENSE_AI_SOFTWARE_INTELLIGENCE,PLTR_MAVEN,Palantir Maven contract candidate,US,success_candidate,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,software_recurring,government_software_contract|maven_like_system,procurement_delay|ethical_regulation,needs_price_backfill,false,Maven-like software contract is Stage 1-2; recurring program evidence unlocks higher conviction.
defense_ai_prototype_no_program_counterexample,DEFENSE_AI_SOFTWARE_INTELLIGENCE,DEF_AI_PROTO,Defense AI prototype no program counterexample,GLOBAL,failed_rerating,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,software_recurring,defense_ai,prototype_only|prototype_nonconversion,needs_price_backfill,false,Prototype without program-of-record stays capped.
ethical_regulation_defense_ai_4c,DEFENSE_AI_SOFTWARE_INTELLIGENCE,DEF_AI_ETH_4C,Ethical regulation defense AI 4C,GLOBAL,4c_thesis_break,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,software_recurring,command_software,ethical_regulatory_block|budget_cut,needs_price_backfill,false,Ethical/political restriction can break defense AI software.
recurring_government_ai_platform_candidate,DEFENSE_AI_SOFTWARE_INTELLIGENCE,GOV_AI_RECUR,Recurring government AI platform candidate,GLOBAL,success_candidate,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,software_recurring,program_of_record|recurring_license|gross_margin_visible,budget_cycle|customer_concentration,needs_price_backfill,false,Program-of-record plus recurring license is stronger than AI headline.
vertiv_data_center_power_infra_candidate,AI_DATA_CENTER_POWER_EQUIPMENT,VRT_POWER,Vertiv data center power infra candidate,US,success_candidate,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,backlog_contract,bookings_growth|direct_datacenter_customer|op_margin_improvement,valuation_crowding|ai_capex_delay,needs_price_backfill,false,"Data-center power equipment needs bookings, margin, and conversion evidence."
power_equipment_bookings_slowdown_4c,AI_DATA_CENTER_POWER_EQUIPMENT,POWER_BOOK_4C,Power equipment bookings slowdown 4C,GLOBAL,4c_thesis_break,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,backlog_contract,datacenter_power_density,bookings_slowdown|margin_miss,needs_price_backfill,false,Bookings slowdown or margin miss can break AI power equipment thesis.
low_margin_power_project_counterexample,AI_DATA_CENTER_POWER_EQUIPMENT,PWR_LOWMARGIN,Low-margin power project counterexample,GLOBAL,failed_rerating,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,backlog_contract,switchgear|modular_power,low_margin_project|supply_chain,needs_price_backfill,false,AI power project is weak if margin is low.
ups_pdu_service_revenue_candidate,AI_DATA_CENTER_POWER_EQUIPMENT,UPS_PDU_SERVICE,UPS PDU service revenue candidate,GLOBAL,success_candidate,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,backlog_contract,ups|pdu|service_revenue,ai_capex_delay|bookings_slowdown,needs_price_backfill,false,Service revenue can make power equipment more recurring.
aerovironment_bluehalo_counter_uas_candidate,DEFENSE_DRONE_COUNTER_UAS,AVAV_BLUE,AeroVironment BlueHalo counter-UAS candidate,US,success_candidate,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,backlog_contract,counter_uas|military_delivery_contract|backlog_growth,mna_dilution|production_capacity,needs_price_backfill,false,"Counter-UAS expansion needs backlog and delivery, not M&A headline alone."
avav_mna_dilution_risk_counterexample,DEFENSE_DRONE_COUNTER_UAS,AVAV_DILUTION,AVAV M&A dilution risk counterexample,US,failed_rerating,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,backlog_contract,counter_uas,mna_dilution|mna_dilution_unwind,needs_price_backfill,false,M&A can dilute or disappoint despite strategic fit.
switchblade_long_term_contract_candidate,DEFENSE_DRONE_COUNTER_UAS,SWITCHBLADE,Switchblade long-term contract candidate,US,success_candidate,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,backlog_contract,loitering_munition|idiq_framework|production_capacity,export_control|program_delay,needs_price_backfill,false,Loitering munition needs long-term delivery contract and production capacity.
drone_prototype_no_mass_production_counterexample,DEFENSE_DRONE_COUNTER_UAS,DRONE_PROTO,Drone prototype no mass production counterexample,GLOBAL,failed_rerating,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,backlog_contract,loitering_munition,prototype_only|production_shortfall,needs_price_backfill,false,Prototype without mass production should not become Green.
