theme_tag,large_sector,primary_archetype,canonical_archetype,secondary_archetypes,green_policy,posture,theme_is_score_input,stage1_query_terms,must_have_evidence,red_flag_evidence,score_weight_profile
신용정보,FINANCIAL_CAPITAL_DIGITAL,PAYMENT_FINTECH_INFRA,PLATFORM_SOFTWARE_INTERNET,,Payment themes need transaction economics and regulated adoption before higher conviction.,WATCH_YELLOW_FIRST,false,거래액|take rate|금융기관 채택|수수료 모델,transaction_volume|take_rate|institutional_adoption|fee_model,law_delay|security_issue|no_revenue|take_rate_pressure,payment_infra_monetization
스테이블코인,FINANCIAL_CAPITAL_DIGITAL,DIGITAL_ASSET_TOKENIZATION,THEME_VALUATION_OVERHEAT,,Tokenization stays RedTeam-first until regulated revenue and adoption are proven.,REDTEAM_FIRST,false,규제 승인|발행 실적|거래량|수탁/정산 수수료,regulation_approval|issued_volume|fee_model|institutional_adoption,law_delay|security_issue|no_revenue|theme_only_tokenization,digital_asset_regulated_revenue
STO,FINANCIAL_CAPITAL_DIGITAL,DIGITAL_ASSET_TOKENIZATION,THEME_VALUATION_OVERHEAT,,Tokenization stays RedTeam-first until regulated revenue and adoption are proven.,REDTEAM_FIRST,false,규제 승인|발행 실적|거래량|수탁/정산 수수료,regulation_approval|issued_volume|fee_model|institutional_adoption,law_delay|security_issue|no_revenue|theme_only_tokenization,digital_asset_regulated_revenue
디지털자산,FINANCIAL_CAPITAL_DIGITAL,DIGITAL_ASSET_TOKENIZATION,THEME_VALUATION_OVERHEAT,,Tokenization stays RedTeam-first until regulated revenue and adoption are proven.,REDTEAM_FIRST,false,규제 승인|발행 실적|거래량|수탁/정산 수수료,regulation_approval|issued_volume|fee_model|institutional_adoption,law_delay|security_issue|no_revenue|theme_only_tokenization,digital_asset_regulated_revenue
블록체인,FINANCIAL_CAPITAL_DIGITAL,DIGITAL_ASSET_TOKENIZATION,THEME_VALUATION_OVERHEAT,,Tokenization stays RedTeam-first until regulated revenue and adoption are proven.,REDTEAM_FIRST,false,규제 승인|발행 실적|거래량|수탁/정산 수수료,regulation_approval|issued_volume|fee_model|institutional_adoption,law_delay|security_issue|no_revenue|theme_only_tokenization,digital_asset_regulated_revenue
NFT,FINANCIAL_CAPITAL_DIGITAL,DIGITAL_ASSET_TOKENIZATION,THEME_VALUATION_OVERHEAT,,Tokenization stays RedTeam-first until regulated revenue and adoption are proven.,REDTEAM_FIRST,false,규제 승인|발행 실적|거래량|수탁/정산 수수료,regulation_approval|issued_volume|fee_model|institutional_adoption,law_delay|security_issue|no_revenue|theme_only_tokenization,digital_asset_regulated_revenue
화장품 OEM,CONSUMER_RETAIL_BRAND,BEAUTY_OEM_ODM_SUPPLYCHAIN,K_BEAUTY_EXPORT_DISTRIBUTION,,"Beauty supply-chain Green requires repeat orders, diversified customers, and clean working capital.",GREEN_POSSIBLE,false,ODM 주문|고객사 다변화|미국/일본 수출|OPM 개선,customer_diversification|repeat_orders|capacity_utilization|opm_roe_improvement,china_dependency|channel_stuffing|receivables_spike|tariff_regulation,beauty_supply_chain_export
화장품 ODM,CONSUMER_RETAIL_BRAND,BEAUTY_OEM_ODM_SUPPLYCHAIN,K_BEAUTY_EXPORT_DISTRIBUTION,,"Beauty supply-chain Green requires repeat orders, diversified customers, and clean working capital.",GREEN_POSSIBLE,false,ODM 주문|고객사 다변화|미국/일본 수출|OPM 개선,customer_diversification|repeat_orders|capacity_utilization|opm_roe_improvement,china_dependency|channel_stuffing|receivables_spike|tariff_regulation,beauty_supply_chain_export
화장품 원재료,CONSUMER_RETAIL_BRAND,BEAUTY_OEM_ODM_SUPPLYCHAIN,K_BEAUTY_EXPORT_DISTRIBUTION,,"Beauty supply-chain Green requires repeat orders, diversified customers, and clean working capital.",GREEN_POSSIBLE,false,ODM 주문|고객사 다변화|미국/일본 수출|OPM 개선,customer_diversification|repeat_orders|capacity_utilization|opm_roe_improvement,china_dependency|channel_stuffing|receivables_spike|tariff_regulation,beauty_supply_chain_export
화장품 부자재,CONSUMER_RETAIL_BRAND,BEAUTY_OEM_ODM_SUPPLYCHAIN,K_BEAUTY_EXPORT_DISTRIBUTION,,"Beauty supply-chain Green requires repeat orders, diversified customers, and clean working capital.",GREEN_POSSIBLE,false,ODM 주문|고객사 다변화|미국/일본 수출|OPM 개선,customer_diversification|repeat_orders|capacity_utilization|opm_roe_improvement,china_dependency|channel_stuffing|receivables_spike|tariff_regulation,beauty_supply_chain_export
양돈주,EDUCATION_LIFE_AGRI_MISC,AGRI_LIVESTOCK_FOOD_COMMODITY,COMMODITY_SPREAD,,Agri/livestock moves are cycle-capped unless pricing power and repeat demand are visible.,REDTEAM_FIRST,false,곡물가격|사료비|판가 전가|질병/날씨 이벤트,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme,food_commodity_cycle_cap
육계주,EDUCATION_LIFE_AGRI_MISC,AGRI_LIVESTOCK_FOOD_COMMODITY,COMMODITY_SPREAD,,Agri/livestock moves are cycle-capped unless pricing power and repeat demand are visible.,REDTEAM_FIRST,false,곡물가격|사료비|판가 전가|질병/날씨 이벤트,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme,food_commodity_cycle_cap
배합사료,EDUCATION_LIFE_AGRI_MISC,AGRI_LIVESTOCK_FOOD_COMMODITY,COMMODITY_SPREAD,,Agri/livestock moves are cycle-capped unless pricing power and repeat demand are visible.,REDTEAM_FIRST,false,곡물가격|사료비|판가 전가|질병/날씨 이벤트,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme,food_commodity_cycle_cap
대두,EDUCATION_LIFE_AGRI_MISC,AGRI_LIVESTOCK_FOOD_COMMODITY,COMMODITY_SPREAD,,Agri/livestock moves are cycle-capped unless pricing power and repeat demand are visible.,REDTEAM_FIRST,false,곡물가격|사료비|판가 전가|질병/날씨 이벤트,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme,food_commodity_cycle_cap
참치 원양어업,EDUCATION_LIFE_AGRI_MISC,AGRI_LIVESTOCK_FOOD_COMMODITY,COMMODITY_SPREAD,,Agri/livestock moves are cycle-capped unless pricing power and repeat demand are visible.,REDTEAM_FIRST,false,곡물가격|사료비|판가 전가|질병/날씨 이벤트,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme,food_commodity_cycle_cap
건자재,CONSTRUCTION_REAL_ESTATE_MATERIALS,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,,Building materials need price and volume support; PF/real-estate risk caps Green.,REDTEAM_FIRST,false,가격 인상|출하량|착공|PF 리스크,price_hike|shipment_volume|cost_spread|housing_cycle,pf_stress|housing_slowdown|cost_inflation|price_hike_failure,building_materials_credit_cycle
시멘트,CONSTRUCTION_REAL_ESTATE_MATERIALS,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,,Building materials need price and volume support; PF/real-estate risk caps Green.,REDTEAM_FIRST,false,가격 인상|출하량|착공|PF 리스크,price_hike|shipment_volume|cost_spread|housing_cycle,pf_stress|housing_slowdown|cost_inflation|price_hike_failure,building_materials_credit_cycle
레미콘,CONSTRUCTION_REAL_ESTATE_MATERIALS,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,,Building materials need price and volume support; PF/real-estate risk caps Green.,REDTEAM_FIRST,false,가격 인상|출하량|착공|PF 리스크,price_hike|shipment_volume|cost_spread|housing_cycle,pf_stress|housing_slowdown|cost_inflation|price_hike_failure,building_materials_credit_cycle
콘크리트,CONSTRUCTION_REAL_ESTATE_MATERIALS,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,,Building materials need price and volume support; PF/real-estate risk caps Green.,REDTEAM_FIRST,false,가격 인상|출하량|착공|PF 리스크,price_hike|shipment_volume|cost_spread|housing_cycle,pf_stress|housing_slowdown|cost_inflation|price_hike_failure,building_materials_credit_cycle
철근,CONSTRUCTION_REAL_ESTATE_MATERIALS,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,,Building materials need price and volume support; PF/real-estate risk caps Green.,REDTEAM_FIRST,false,가격 인상|출하량|착공|PF 리스크,price_hike|shipment_volume|cost_spread|housing_cycle,pf_stress|housing_slowdown|cost_inflation|price_hike_failure,building_materials_credit_cycle
가구,CONSTRUCTION_REAL_ESTATE_MATERIALS,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,,Building materials need price and volume support; PF/real-estate risk caps Green.,REDTEAM_FIRST,false,가격 인상|출하량|착공|PF 리스크,price_hike|shipment_volume|cost_spread|housing_cycle,pf_stress|housing_slowdown|cost_inflation|price_hike_failure,building_materials_credit_cycle
거푸집,CONSTRUCTION_REAL_ESTATE_MATERIALS,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,,Building materials need price and volume support; PF/real-estate risk caps Green.,REDTEAM_FIRST,false,가격 인상|출하량|착공|PF 리스크,price_hike|shipment_volume|cost_spread|housing_cycle,pf_stress|housing_slowdown|cost_inflation|price_hike_failure,building_materials_credit_cycle
풍력,BATTERY_EV_GREEN,RENEWABLE_ENERGY_POLICY,UTILITIES_REGULATED_TARIFF,,Renewable policy needs project economics and margin support before high conviction.,WATCH_YELLOW_FIRST,false,정책/보조금|프로젝트 수주|가동률|OP 전환,project_backlog|policy_support|utilization|margin_visibility,subsidy_cut|project_delay|tariff_issue|utilization_down,renewable_policy_project_economics
탄소배출권,BATTERY_EV_GREEN,RENEWABLE_ENERGY_POLICY,UTILITIES_REGULATED_TARIFF,,Renewable policy needs project economics and margin support before high conviction.,WATCH_YELLOW_FIRST,false,정책/보조금|프로젝트 수주|가동률|OP 전환,project_backlog|policy_support|utilization|margin_visibility,subsidy_cut|project_delay|tariff_issue|utilization_down,renewable_policy_project_economics
신재생에너지,BATTERY_EV_GREEN,RENEWABLE_ENERGY_POLICY,UTILITIES_REGULATED_TARIFF,,Renewable policy needs project economics and margin support before high conviction.,WATCH_YELLOW_FIRST,false,정책/보조금|프로젝트 수주|가동률|OP 전환,project_backlog|policy_support|utilization|margin_visibility,subsidy_cut|project_delay|tariff_issue|utilization_down,renewable_policy_project_economics
전력망,BATTERY_EV_GREEN,RENEWABLE_ENERGY_POLICY,UTILITIES_REGULATED_TARIFF,,Renewable policy needs project economics and margin support before high conviction.,WATCH_YELLOW_FIRST,false,정책/보조금|프로젝트 수주|가동률|OP 전환,project_backlog|policy_support|utilization|margin_visibility,subsidy_cut|project_delay|tariff_issue|utilization_down,renewable_policy_project_economics
스마트그리드,BATTERY_EV_GREEN,RENEWABLE_ENERGY_POLICY,UTILITIES_REGULATED_TARIFF,,Renewable policy needs project economics and margin support before high conviction.,WATCH_YELLOW_FIRST,false,정책/보조금|프로젝트 수주|가동률|OP 전환,project_backlog|policy_support|utilization|margin_visibility,subsidy_cut|project_delay|tariff_issue|utilization_down,renewable_policy_project_economics
수소차 연료전지,BATTERY_EV_GREEN,HYDROGEN_FUEL_CELL_INFRA,THEME_VALUATION_OVERHEAT,,Hydrogen is policy/theme-heavy until commercial revenue and utilization are visible.,REDTEAM_FIRST,false,공장 착공|생산능력|고객/수요|원가 경쟁력,commercial_revenue|production_capacity|customer_demand|cost_curve,policy_dependency|no_revenue|utilization_down|project_delay,hydrogen_commercial_economics
수소차 인프라,BATTERY_EV_GREEN,HYDROGEN_FUEL_CELL_INFRA,THEME_VALUATION_OVERHEAT,,Hydrogen is policy/theme-heavy until commercial revenue and utilization are visible.,REDTEAM_FIRST,false,공장 착공|생산능력|고객/수요|원가 경쟁력,commercial_revenue|production_capacity|customer_demand|cost_curve,policy_dependency|no_revenue|utilization_down|project_delay,hydrogen_commercial_economics
수소차 기타부품,BATTERY_EV_GREEN,HYDROGEN_FUEL_CELL_INFRA,THEME_VALUATION_OVERHEAT,,Hydrogen is policy/theme-heavy until commercial revenue and utilization are visible.,REDTEAM_FIRST,false,공장 착공|생산능력|고객/수요|원가 경쟁력,commercial_revenue|production_capacity|customer_demand|cost_curve,policy_dependency|no_revenue|utilization_down|project_delay,hydrogen_commercial_economics
태양광,BATTERY_EV_GREEN,SOLAR_TARIFF_SUPPLYCHAIN,UTILITIES_REGULATED_TARIFF,,Solar is Green-restricted when tariff/customs and subsidy risk dominate economics.,REDTEAM_FIRST,false,관세|통관|보조금|공장 가동률,tariff_visibility|supply_chain_clearance|subsidy_support|utilization,tariff_delay|customs_hold|subsidy_cut|supply_chain_disruption,solar_tariff_supply_chain_risk
태양광 모듈,BATTERY_EV_GREEN,SOLAR_TARIFF_SUPPLYCHAIN,UTILITIES_REGULATED_TARIFF,,Solar is Green-restricted when tariff/customs and subsidy risk dominate economics.,REDTEAM_FIRST,false,관세|통관|보조금|공장 가동률,tariff_visibility|supply_chain_clearance|subsidy_support|utilization,tariff_delay|customs_hold|subsidy_cut|supply_chain_disruption,solar_tariff_supply_chain_risk
태양광 공급망,BATTERY_EV_GREEN,SOLAR_TARIFF_SUPPLYCHAIN,UTILITIES_REGULATED_TARIFF,,Solar is Green-restricted when tariff/customs and subsidy risk dominate economics.,REDTEAM_FIRST,false,관세|통관|보조금|공장 가동률,tariff_visibility|supply_chain_clearance|subsidy_support|utilization,tariff_delay|customs_hold|subsidy_cut|supply_chain_disruption,solar_tariff_supply_chain_risk
타이어,MOBILITY_TRANSPORT_LEISURE,TIRE_AUTO_COMPONENT_SPREAD,AUTO_MOBILITY_COMPONENTS,,"Tire/component scoring needs spread and customer evidence, not auto theme alone.",WATCH_YELLOW_FIRST,false,OE/RE mix|ASP|원재료 spread|고객 다변화,oe_re_mix|asp|raw_material_spread|customer_diversification,raw_material_inflation|factory_disruption|customer_concentration|auto_demand_slowdown,tire_component_spread
자동차 연비개선,MOBILITY_TRANSPORT_LEISURE,TIRE_AUTO_COMPONENT_SPREAD,AUTO_MOBILITY_COMPONENTS,,"Tire/component scoring needs spread and customer evidence, not auto theme alone.",WATCH_YELLOW_FIRST,false,OE/RE mix|ASP|원재료 spread|고객 다변화,oe_re_mix|asp|raw_material_spread|customer_diversification,raw_material_inflation|factory_disruption|customer_concentration|auto_demand_slowdown,tire_component_spread
경량화,MOBILITY_TRANSPORT_LEISURE,TIRE_AUTO_COMPONENT_SPREAD,AUTO_MOBILITY_COMPONENTS,,"Tire/component scoring needs spread and customer evidence, not auto theme alone.",WATCH_YELLOW_FIRST,false,OE/RE mix|ASP|원재료 spread|고객 다변화,oe_re_mix|asp|raw_material_spread|customer_diversification,raw_material_inflation|factory_disruption|customer_concentration|auto_demand_slowdown,tire_component_spread
현대-기아차 부품주,MOBILITY_TRANSPORT_LEISURE,TIRE_AUTO_COMPONENT_SPREAD,AUTO_MOBILITY_COMPONENTS,,"Tire/component scoring needs spread and customer evidence, not auto theme alone.",WATCH_YELLOW_FIRST,false,OE/RE mix|ASP|원재료 spread|고객 다변화,oe_re_mix|asp|raw_material_spread|customer_diversification,raw_material_inflation|factory_disruption|customer_concentration|auto_demand_slowdown,tire_component_spread
엠폭스,POLICY_GEOPOLITICAL_EVENT,EVENT_DISEASE_PEST_DEMAND,ONE_OFF_EVENT_DEMAND,,Event disease/pest demand is one-off until recurring platform demand is proven.,REDTEAM_FIRST,false,감염병 뉴스|진단/방역 수요|단기 공급부족|재고 정상화,recurring_non_event_demand|post_event_revenue|margin_normalization,one_off_demand|inventory_build|guidance_down|demand_cliff,event_demand_redteam_cap
코로나19,POLICY_GEOPOLITICAL_EVENT,EVENT_DISEASE_PEST_DEMAND,ONE_OFF_EVENT_DEMAND,,Event disease/pest demand is one-off until recurring platform demand is proven.,REDTEAM_FIRST,false,감염병 뉴스|진단/방역 수요|단기 공급부족|재고 정상화,recurring_non_event_demand|post_event_revenue|margin_normalization,one_off_demand|inventory_build|guidance_down|demand_cliff,event_demand_redteam_cap
전염병 진단,POLICY_GEOPOLITICAL_EVENT,EVENT_DISEASE_PEST_DEMAND,ONE_OFF_EVENT_DEMAND,,Event disease/pest demand is one-off until recurring platform demand is proven.,REDTEAM_FIRST,false,감염병 뉴스|진단/방역 수요|단기 공급부족|재고 정상화,recurring_non_event_demand|post_event_revenue|margin_normalization,one_off_demand|inventory_build|guidance_down|demand_cliff,event_demand_redteam_cap
빈대퇴치,POLICY_GEOPOLITICAL_EVENT,EVENT_DISEASE_PEST_DEMAND,ONE_OFF_EVENT_DEMAND,,Event disease/pest demand is one-off until recurring platform demand is proven.,REDTEAM_FIRST,false,감염병 뉴스|진단/방역 수요|단기 공급부족|재고 정상화,recurring_non_event_demand|post_event_revenue|margin_normalization,one_off_demand|inventory_build|guidance_down|demand_cliff,event_demand_redteam_cap
황사마스크,POLICY_GEOPOLITICAL_EVENT,EVENT_DISEASE_PEST_DEMAND,ONE_OFF_EVENT_DEMAND,,Event disease/pest demand is one-off until recurring platform demand is proven.,REDTEAM_FIRST,false,감염병 뉴스|진단/방역 수요|단기 공급부족|재고 정상화,recurring_non_event_demand|post_event_revenue|margin_normalization,one_off_demand|inventory_build|guidance_down|demand_cliff,event_demand_redteam_cap
공기정화,POLICY_GEOPOLITICAL_EVENT,EVENT_DISEASE_PEST_DEMAND,ONE_OFF_EVENT_DEMAND,,Event disease/pest demand is one-off until recurring platform demand is proven.,REDTEAM_FIRST,false,감염병 뉴스|진단/방역 수요|단기 공급부족|재고 정상화,recurring_non_event_demand|post_event_revenue|margin_normalization,one_off_demand|inventory_build|guidance_down|demand_cliff,event_demand_redteam_cap
초전도체,POLICY_GEOPOLITICAL_EVENT,SPECULATIVE_SCIENCE_THEME,THEME_VALUATION_OVERHEAT,,Speculative science tags are Green-blocked without commercialization and revenue evidence.,REDTEAM_FIRST,false,논문/테마 뉴스|거래대금 급증|상용화 검증|실제 계약,commercial_contract|revenue_conversion|verified_product,paper_only|relatedness_unclear|price_only_rally|commercialization_failure,speculative_science_theme_guardrail
맥신,POLICY_GEOPOLITICAL_EVENT,SPECULATIVE_SCIENCE_THEME,THEME_VALUATION_OVERHEAT,,Speculative science tags are Green-blocked without commercialization and revenue evidence.,REDTEAM_FIRST,false,논문/테마 뉴스|거래대금 급증|상용화 검증|실제 계약,commercial_contract|revenue_conversion|verified_product,paper_only|relatedness_unclear|price_only_rally|commercialization_failure,speculative_science_theme_guardrail
그래핀,POLICY_GEOPOLITICAL_EVENT,SPECULATIVE_SCIENCE_THEME,THEME_VALUATION_OVERHEAT,,Speculative science tags are Green-blocked without commercialization and revenue evidence.,REDTEAM_FIRST,false,논문/테마 뉴스|거래대금 급증|상용화 검증|실제 계약,commercial_contract|revenue_conversion|verified_product,paper_only|relatedness_unclear|price_only_rally|commercialization_failure,speculative_science_theme_guardrail
양자 기술,POLICY_GEOPOLITICAL_EVENT,SPECULATIVE_SCIENCE_THEME,THEME_VALUATION_OVERHEAT,,Speculative science tags are Green-blocked without commercialization and revenue evidence.,REDTEAM_FIRST,false,논문/테마 뉴스|거래대금 급증|상용화 검증|실제 계약,commercial_contract|revenue_conversion|verified_product,paper_only|relatedness_unclear|price_only_rally|commercialization_failure,speculative_science_theme_guardrail
스페이스X,POLICY_GEOPOLITICAL_EVENT,SPECULATIVE_SCIENCE_THEME,THEME_VALUATION_OVERHEAT,,Speculative science tags are Green-blocked without commercialization and revenue evidence.,REDTEAM_FIRST,false,논문/테마 뉴스|거래대금 급증|상용화 검증|실제 계약,commercial_contract|revenue_conversion|verified_product,paper_only|relatedness_unclear|price_only_rally|commercialization_failure,speculative_science_theme_guardrail
페라이트,POLICY_GEOPOLITICAL_EVENT,SPECULATIVE_SCIENCE_THEME,THEME_VALUATION_OVERHEAT,,Speculative science tags are Green-blocked without commercialization and revenue evidence.,REDTEAM_FIRST,false,논문/테마 뉴스|거래대금 급증|상용화 검증|실제 계약,commercial_contract|revenue_conversion|verified_product,paper_only|relatedness_unclear|price_only_rally|commercialization_failure,speculative_science_theme_guardrail
폐기물처리,EDUCATION_LIFE_AGRI_MISC,WASTE_RECYCLING_ENVIRONMENT,UTILITIES_REGULATED_TARIFF,,Environmental services need regulated demand and utilization; commodity-linked recycling is capped.,WATCH_YELLOW_FIRST,false,규제 수요|처리량|가동률|마진,regulated_demand|processing_volume|utilization|margin_visibility,policy_delay|utilization_down|commodity_price_reversal|capex_burden,regulated_environment_utilization
폐배터리,EDUCATION_LIFE_AGRI_MISC,WASTE_RECYCLING_ENVIRONMENT,UTILITIES_REGULATED_TARIFF,,Environmental services need regulated demand and utilization; commodity-linked recycling is capped.,WATCH_YELLOW_FIRST,false,규제 수요|처리량|가동률|마진,regulated_demand|processing_volume|utilization|margin_visibility,policy_delay|utilization_down|commodity_price_reversal|capex_burden,regulated_environment_utilization
재활용,EDUCATION_LIFE_AGRI_MISC,WASTE_RECYCLING_ENVIRONMENT,UTILITIES_REGULATED_TARIFF,,Environmental services need regulated demand and utilization; commodity-linked recycling is capped.,WATCH_YELLOW_FIRST,false,규제 수요|처리량|가동률|마진,regulated_demand|processing_volume|utilization|margin_visibility,policy_delay|utilization_down|commodity_price_reversal|capex_burden,regulated_environment_utilization
