theme_tag,sub_archetype,large_sector,large_sector_korean,canonical_archetype,posture,theme_is_score_input,must_have_evidence,green_policy
광케이블,AI_DATA_CENTER_INFRASTRUCTURE,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,false,confirmed_order|data_center_capex|capacity_bottleneck|op_eps_revision,AI tag alone is not evidence; orders and revision support are required.
광통신,AI_DATA_CENTER_INFRASTRUCTURE,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,false,confirmed_order|data_center_capex|capacity_bottleneck|op_eps_revision,AI tag alone is not evidence; orders and revision support are required.
냉각시스템,AI_DATA_CENTER_INFRASTRUCTURE,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,false,confirmed_order|data_center_capex|capacity_bottleneck|op_eps_revision,AI tag alone is not evidence; orders and revision support are required.
클린룸,AI_DATA_CENTER_INFRASTRUCTURE,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,false,confirmed_order|data_center_capex|capacity_bottleneck|op_eps_revision,AI tag alone is not evidence; orders and revision support are required.
AI 데이터센터,AI_DATA_CENTER_INFRASTRUCTURE,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,false,confirmed_order|data_center_capex|capacity_bottleneck|op_eps_revision,AI tag alone is not evidence; orders and revision support are required.
방위산업,DEFENSE_GOVERNMENT_BACKLOG,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,false,government_customer|multi_year_contract|delivery_schedule|op_eps_revision,Government backlog can support Green only when delivery and margin visibility are real.
항공우주,DEFENSE_GOVERNMENT_BACKLOG,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,false,government_customer|multi_year_contract|delivery_schedule|op_eps_revision,Government backlog can support Green only when delivery and margin visibility are real.
드론,DEFENSE_GOVERNMENT_BACKLOG,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,false,government_customer|multi_year_contract|delivery_schedule|op_eps_revision,Government backlog can support Green only when delivery and margin visibility are real.
플라잉카,DEFENSE_GOVERNMENT_BACKLOG,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,false,government_customer|multi_year_contract|delivery_schedule|op_eps_revision,Government backlog can support Green only when delivery and margin visibility are real.
스페이스X 관련주,DEFENSE_GOVERNMENT_BACKLOG,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,false,government_customer|multi_year_contract|delivery_schedule|op_eps_revision,Government backlog can support Green only when delivery and margin visibility are real.
조선,SHIPBUILDING_OFFSHORE_BACKLOG,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,false,orderbook_quality|newbuild_price|low_margin_backlog_clearance|op_revision,"Shipbuilding needs order quality and margin conversion, not backlog headline only."
조선 기자재,SHIPBUILDING_OFFSHORE_BACKLOG,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,false,orderbook_quality|newbuild_price|low_margin_backlog_clearance|op_revision,"Shipbuilding needs order quality and margin conversion, not backlog headline only."
LNG선 기자재,SHIPBUILDING_OFFSHORE_BACKLOG,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,false,orderbook_quality|newbuild_price|low_margin_backlog_clearance|op_revision,"Shipbuilding needs order quality and margin conversion, not backlog headline only."
엔진,SHIPBUILDING_OFFSHORE_BACKLOG,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,false,orderbook_quality|newbuild_price|low_margin_backlog_clearance|op_revision,"Shipbuilding needs order quality and margin conversion, not backlog headline only."
피팅밸브,SHIPBUILDING_OFFSHORE_BACKLOG,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,false,orderbook_quality|newbuild_price|low_margin_backlog_clearance|op_revision,"Shipbuilding needs order quality and margin conversion, not backlog headline only."
원자력,NUCLEAR_SMR_GRID_POLICY,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,NUCLEAR_SMR_GRID_POLICY,WATCH_YELLOW_FIRST,false,binding_contract|permitted_project_timeline|supplier_revenue_visibility,Policy headlines stay Watch/Yellow until contract economics are binding.
원전,NUCLEAR_SMR_GRID_POLICY,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,NUCLEAR_SMR_GRID_POLICY,WATCH_YELLOW_FIRST,false,binding_contract|permitted_project_timeline|supplier_revenue_visibility,Policy headlines stay Watch/Yellow until contract economics are binding.
SMR,NUCLEAR_SMR_GRID_POLICY,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,NUCLEAR_SMR_GRID_POLICY,WATCH_YELLOW_FIRST,false,binding_contract|permitted_project_timeline|supplier_revenue_visibility,Policy headlines stay Watch/Yellow until contract economics are binding.
스마트그리드,NUCLEAR_SMR_GRID_POLICY,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,NUCLEAR_SMR_GRID_POLICY,WATCH_YELLOW_FIRST,false,binding_contract|permitted_project_timeline|supplier_revenue_visibility,Policy headlines stay Watch/Yellow until contract economics are binding.
전력망,NUCLEAR_SMR_GRID_POLICY,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,NUCLEAR_SMR_GRID_POLICY,WATCH_YELLOW_FIRST,false,binding_contract|permitted_project_timeline|supplier_revenue_visibility,Policy headlines stay Watch/Yellow until contract economics are binding.
HBM,MEMORY_HBM_CAPACITY,AI_SEMICONDUCTOR_ELECTRONICS,AI·반도체·전자부품,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,false,memory_price|hbm_demand|supply_discipline|medium_term_revision,HBM/memory Green needs EPS path and capacity or price evidence.
반도체-HBM,MEMORY_HBM_CAPACITY,AI_SEMICONDUCTOR_ELECTRONICS,AI·반도체·전자부품,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,false,memory_price|hbm_demand|supply_discipline|medium_term_revision,HBM/memory Green needs EPS path and capacity or price evidence.
종합반도체,MEMORY_HBM_CAPACITY,AI_SEMICONDUCTOR_ELECTRONICS,AI·반도체·전자부품,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,false,memory_price|hbm_demand|supply_discipline|medium_term_revision,HBM/memory Green needs EPS path and capacity or price evidence.
CXL,MEMORY_HBM_CAPACITY,AI_SEMICONDUCTOR_ELECTRONICS,AI·반도체·전자부품,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,false,memory_price|hbm_demand|supply_discipline|medium_term_revision,HBM/memory Green needs EPS path and capacity or price evidence.
뉴로모픽 반도체,MEMORY_HBM_CAPACITY,AI_SEMICONDUCTOR_ELECTRONICS,AI·반도체·전자부품,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,false,memory_price|hbm_demand|supply_discipline|medium_term_revision,HBM/memory Green needs EPS path and capacity or price evidence.
반도체 전공정 장비,SEMI_EQUIPMENT_CAPEX,AI_SEMICONDUCTOR_ELECTRONICS,AI·반도체·전자부품,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,false,customer_capex|orders|revenue_conversion|customer_diversification,Equipment themes need customer capex and order conversion.
반도체 후공정 장비,SEMI_EQUIPMENT_CAPEX,AI_SEMICONDUCTOR_ELECTRONICS,AI·반도체·전자부품,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,false,customer_capex|orders|revenue_conversion|customer_diversification,Equipment themes need customer capex and order conversion.
2차전지 공정장비,SEMI_EQUIPMENT_CAPEX,AI_SEMICONDUCTOR_ELECTRONICS,AI·반도체·전자부품,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,false,customer_capex|orders|revenue_conversion|customer_diversification,Equipment themes need customer capex and order conversion.
PCB,ADVANCED_PACKAGING_PCB,AI_SEMICONDUCTOR_ELECTRONICS,AI·반도체·전자부품,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,false,ai_server_demand|order_visibility|capacity_constraint|op_eps_revision,PCB/packaging can be Green-eligible with AI server demand and order conversion.
인쇄회로기판,ADVANCED_PACKAGING_PCB,AI_SEMICONDUCTOR_ELECTRONICS,AI·반도체·전자부품,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,false,ai_server_demand|order_visibility|capacity_constraint|op_eps_revision,PCB/packaging can be Green-eligible with AI server demand and order conversion.
CXL,ADVANCED_PACKAGING_PCB,AI_SEMICONDUCTOR_ELECTRONICS,AI·반도체·전자부품,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,false,ai_server_demand|order_visibility|capacity_constraint|op_eps_revision,PCB/packaging can be Green-eligible with AI server demand and order conversion.
유리기판,ADVANCED_PACKAGING_PCB,AI_SEMICONDUCTOR_ELECTRONICS,AI·반도체·전자부품,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,false,ai_server_demand|order_visibility|capacity_constraint|op_eps_revision,PCB/packaging can be Green-eligible with AI server demand and order conversion.
후공정,ADVANCED_PACKAGING_PCB,AI_SEMICONDUCTOR_ELECTRONICS,AI·반도체·전자부품,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,false,ai_server_demand|order_visibility|capacity_constraint|op_eps_revision,PCB/packaging can be Green-eligible with AI server demand and order conversion.
AI 서버 PCB,ADVANCED_PACKAGING_PCB,AI_SEMICONDUCTOR_ELECTRONICS,AI·반도체·전자부품,SEMI_EQUIPMENT_CAPEX,GREEN_POSSIBLE,false,ai_server_demand|order_visibility|capacity_constraint|op_eps_revision,PCB/packaging can be Green-eligible with AI server demand and order conversion.
퓨리오사AI 관련주,AI_CHIP_FABRIC_INFRA,AI_SEMICONDUCTOR_ELECTRONICS,AI·반도체·전자부품,AI_DATA_CENTER_INFRASTRUCTURE,REDTEAM_FIRST,false,direct_exposure|orders_or_revenue|revision_support,"AI-chip association without exposure is theme risk, not scoring evidence."
인공지능 AI,AI_CHIP_FABRIC_INFRA,AI_SEMICONDUCTOR_ELECTRONICS,AI·반도체·전자부품,AI_DATA_CENTER_INFRASTRUCTURE,REDTEAM_FIRST,false,direct_exposure|orders_or_revenue|revision_support,"AI-chip association without exposure is theme risk, not scoring evidence."
시스템반도체,AI_CHIP_FABRIC_INFRA,AI_SEMICONDUCTOR_ELECTRONICS,AI·반도체·전자부품,AI_DATA_CENTER_INFRASTRUCTURE,REDTEAM_FIRST,false,direct_exposure|orders_or_revenue|revision_support,"AI-chip association without exposure is theme risk, not scoring evidence."
뉴로모픽 반도체,AI_CHIP_FABRIC_INFRA,AI_SEMICONDUCTOR_ELECTRONICS,AI·반도체·전자부품,AI_DATA_CENTER_INFRASTRUCTURE,REDTEAM_FIRST,false,direct_exposure|orders_or_revenue|revision_support,"AI-chip association without exposure is theme risk, not scoring evidence."
2차전지 소재,BATTERY_MATERIALS_CAPEX_OVERHEAT,BATTERY_EV_GREEN,2차전지·전기차·친환경,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_FIRST,false,contract_quality|price_pass_through|demand_visibility|fcf_after_capex,"Battery materials are Green-restricted until contract, margin, and demand risks are controlled."
2차전지 생산·판매,BATTERY_MATERIALS_CAPEX_OVERHEAT,BATTERY_EV_GREEN,2차전지·전기차·친환경,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_FIRST,false,contract_quality|price_pass_through|demand_visibility|fcf_after_capex,"Battery materials are Green-restricted until contract, margin, and demand risks are controlled."
전고체 배터리,BATTERY_MATERIALS_CAPEX_OVERHEAT,BATTERY_EV_GREEN,2차전지·전기차·친환경,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_FIRST,false,contract_quality|price_pass_through|demand_visibility|fcf_after_capex,"Battery materials are Green-restricted until contract, margin, and demand risks are controlled."
리튬,BATTERY_MATERIALS_CAPEX_OVERHEAT,BATTERY_EV_GREEN,2차전지·전기차·친환경,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_FIRST,false,contract_quality|price_pass_through|demand_visibility|fcf_after_capex,"Battery materials are Green-restricted until contract, margin, and demand risks are controlled."
폐배터리,BATTERY_MATERIALS_CAPEX_OVERHEAT,BATTERY_EV_GREEN,2차전지·전기차·친환경,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_FIRST,false,contract_quality|price_pass_through|demand_visibility|fcf_after_capex,"Battery materials are Green-restricted until contract, margin, and demand risks are controlled."
태양광,RENEWABLE_ENERGY_POLICY,BATTERY_EV_GREEN,2차전지·전기차·친환경,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,false,tariff_or_policy|project_backlog|margin_visibility,Renewable policy needs project economics and margin support.
풍력,RENEWABLE_ENERGY_POLICY,BATTERY_EV_GREEN,2차전지·전기차·친환경,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,false,tariff_or_policy|project_backlog|margin_visibility,Renewable policy needs project economics and margin support.
탄소배출권,RENEWABLE_ENERGY_POLICY,BATTERY_EV_GREEN,2차전지·전기차·친환경,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,false,tariff_or_policy|project_backlog|margin_visibility,Renewable policy needs project economics and margin support.
탈 플라스틱,RENEWABLE_ENERGY_POLICY,BATTERY_EV_GREEN,2차전지·전기차·친환경,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,false,tariff_or_policy|project_backlog|margin_visibility,Renewable policy needs project economics and margin support.
LNG 발전유통,ENERGY_DISTRIBUTION_FUEL,BATTERY_EV_GREEN,2차전지·전기차·친환경,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,false,spread|inventory_status|demand_visibility,Fuel distribution is spread/cycle driven and needs cyclicality caps.
LPG,ENERGY_DISTRIBUTION_FUEL,BATTERY_EV_GREEN,2차전지·전기차·친환경,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,false,spread|inventory_status|demand_visibility,Fuel distribution is spread/cycle driven and needs cyclicality caps.
유가 상승 수혜,ENERGY_DISTRIBUTION_FUEL,BATTERY_EV_GREEN,2차전지·전기차·친환경,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,false,spread|inventory_status|demand_visibility,Fuel distribution is spread/cycle driven and needs cyclicality caps.
유류도소매,ENERGY_DISTRIBUTION_FUEL,BATTERY_EV_GREEN,2차전지·전기차·친환경,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,false,spread|inventory_status|demand_visibility,Fuel distribution is spread/cycle driven and needs cyclicality caps.
윤활유,ENERGY_DISTRIBUTION_FUEL,BATTERY_EV_GREEN,2차전지·전기차·친환경,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,false,spread|inventory_status|demand_visibility,Fuel distribution is spread/cycle driven and needs cyclicality caps.
화학,CHEMICAL_SPREAD,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,COMMODITY_SPREAD,REDTEAM_FIRST,false,product_spread|inventory_status|capacity_discipline,Chemical spread alone cannot create structural Green.
페인트,CHEMICAL_SPREAD,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,COMMODITY_SPREAD,REDTEAM_FIRST,false,product_spread|inventory_status|capacity_discipline,Chemical spread alone cannot create structural Green.
탈 플라스틱,CHEMICAL_SPREAD,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,COMMODITY_SPREAD,REDTEAM_FIRST,false,product_spread|inventory_status|capacity_discipline,Chemical spread alone cannot create structural Green.
주정,CHEMICAL_SPREAD,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,COMMODITY_SPREAD,REDTEAM_FIRST,false,product_spread|inventory_status|capacity_discipline,Chemical spread alone cannot create structural Green.
정유,REFINING_OIL_SPREAD,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,false,refining_margin|inventory_status|demand_visibility,Refining is cyclical; Green needs structural supply discipline.
화학-정유,REFINING_OIL_SPREAD,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,false,refining_margin|inventory_status|demand_visibility,Refining is cyclical; Green needs structural supply discipline.
윤활유,REFINING_OIL_SPREAD,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,false,refining_margin|inventory_status|demand_visibility,Refining is cyclical; Green needs structural supply discipline.
LPG,REFINING_OIL_SPREAD,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,false,refining_margin|inventory_status|demand_visibility,Refining is cyclical; Green needs structural supply discipline.
철강 주요업체,STEEL_METAL_SPREAD,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,COMMODITY_SPREAD,REDTEAM_FIRST,false,steel_spread|china_supply|inventory_status,Steel needs spread and supply discipline; China supply risk caps Green.
철강 중소형업체,STEEL_METAL_SPREAD,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,COMMODITY_SPREAD,REDTEAM_FIRST,false,steel_spread|china_supply|inventory_status,Steel needs spread and supply discipline; China supply risk caps Green.
강관,STEEL_METAL_SPREAD,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,COMMODITY_SPREAD,REDTEAM_FIRST,false,steel_spread|china_supply|inventory_status,Steel needs spread and supply discipline; China supply risk caps Green.
건자재 철근,STEEL_METAL_SPREAD,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,COMMODITY_SPREAD,REDTEAM_FIRST,false,steel_spread|china_supply|inventory_status,Steel needs spread and supply discipline; China supply risk caps Green.
비철금속,NONFERROUS_STRATEGIC_METALS,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,false,metal_price|cost_curve|supply_constraint,"Strategic metals need cost curve or supply evidence, not price spike only."
구리,NONFERROUS_STRATEGIC_METALS,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,false,metal_price|cost_curve|supply_constraint,"Strategic metals need cost curve or supply evidence, not price spike only."
리튬,NONFERROUS_STRATEGIC_METALS,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,false,metal_price|cost_curve|supply_constraint,"Strategic metals need cost curve or supply evidence, not price spike only."
희토류,NONFERROUS_STRATEGIC_METALS,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,false,metal_price|cost_curve|supply_constraint,"Strategic metals need cost curve or supply evidence, not price spike only."
금은,NONFERROUS_STRATEGIC_METALS,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,false,metal_price|cost_curve|supply_constraint,"Strategic metals need cost curve or supply evidence, not price spike only."
페라이트,NONFERROUS_STRATEGIC_METALS,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,false,metal_price|cost_curve|supply_constraint,"Strategic metals need cost curve or supply evidence, not price spike only."
그래핀,ADVANCED_MATERIAL_THEMES,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,false,commercial_revenue|contract_or_order|technical_validation,Speculative science tags are Green-blocked without commercialization evidence.
맥신,ADVANCED_MATERIAL_THEMES,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,false,commercial_revenue|contract_or_order|technical_validation,Speculative science tags are Green-blocked without commercialization evidence.
초전도체,ADVANCED_MATERIAL_THEMES,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,false,commercial_revenue|contract_or_order|technical_validation,Speculative science tags are Green-blocked without commercialization evidence.
양자 기술,ADVANCED_MATERIAL_THEMES,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,false,commercial_revenue|contract_or_order|technical_validation,Speculative science tags are Green-blocked without commercialization evidence.
페라이트,ADVANCED_MATERIAL_THEMES,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,false,commercial_revenue|contract_or_order|technical_validation,Speculative science tags are Green-blocked without commercialization evidence.
라면,EXPORT_RECURRING_CONSUMER,CONSUMER_RETAIL_BRAND,소비재·유통·브랜드,EXPORT_RECURRING_CONSUMER,GREEN_POSSIBLE,false,export_growth|channel_expansion|recurring_demand|fy1_fy2_revision,K-food Green does not require contracts but does require repeat demand and revision support.
K푸드,EXPORT_RECURRING_CONSUMER,CONSUMER_RETAIL_BRAND,소비재·유통·브랜드,EXPORT_RECURRING_CONSUMER,GREEN_POSSIBLE,false,export_growth|channel_expansion|recurring_demand|fy1_fy2_revision,K-food Green does not require contracts but does require repeat demand and revision support.
음식료,EXPORT_RECURRING_CONSUMER,CONSUMER_RETAIL_BRAND,소비재·유통·브랜드,EXPORT_RECURRING_CONSUMER,GREEN_POSSIBLE,false,export_growth|channel_expansion|recurring_demand|fy1_fy2_revision,K-food Green does not require contracts but does require repeat demand and revision support.
건강기능식품,EXPORT_RECURRING_CONSUMER,CONSUMER_RETAIL_BRAND,소비재·유통·브랜드,EXPORT_RECURRING_CONSUMER,GREEN_POSSIBLE,false,export_growth|channel_expansion|recurring_demand|fy1_fy2_revision,K-food Green does not require contracts but does require repeat demand and revision support.
음식료 유통,EXPORT_RECURRING_CONSUMER,CONSUMER_RETAIL_BRAND,소비재·유통·브랜드,EXPORT_RECURRING_CONSUMER,GREEN_POSSIBLE,false,export_growth|channel_expansion|recurring_demand|fy1_fy2_revision,K-food Green does not require contracts but does require repeat demand and revision support.
양돈주,FOOD_AGRI_LIVESTOCK_CYCLE,CONSUMER_RETAIL_BRAND,소비재·유통·브랜드,COMMODITY_SPREAD,REDTEAM_FIRST,false,commodity_cycle|feed_cost|inventory_status,Food commodity cycles are capped; avoid structural extrapolation.
육계주,FOOD_AGRI_LIVESTOCK_CYCLE,CONSUMER_RETAIL_BRAND,소비재·유통·브랜드,COMMODITY_SPREAD,REDTEAM_FIRST,false,commodity_cycle|feed_cost|inventory_status,Food commodity cycles are capped; avoid structural extrapolation.
참치 원양어업,FOOD_AGRI_LIVESTOCK_CYCLE,CONSUMER_RETAIL_BRAND,소비재·유통·브랜드,COMMODITY_SPREAD,REDTEAM_FIRST,false,commodity_cycle|feed_cost|inventory_status,Food commodity cycles are capped; avoid structural extrapolation.
대두,FOOD_AGRI_LIVESTOCK_CYCLE,CONSUMER_RETAIL_BRAND,소비재·유통·브랜드,COMMODITY_SPREAD,REDTEAM_FIRST,false,commodity_cycle|feed_cost|inventory_status,Food commodity cycles are capped; avoid structural extrapolation.
배합사료,FOOD_AGRI_LIVESTOCK_CYCLE,CONSUMER_RETAIL_BRAND,소비재·유통·브랜드,COMMODITY_SPREAD,REDTEAM_FIRST,false,commodity_cycle|feed_cost|inventory_status,Food commodity cycles are capped; avoid structural extrapolation.
편의점,RETAIL_CONVENIENCE_OFFLINE,CONSUMER_RETAIL_BRAND,소비재·유통·브랜드,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,false,same_store_sales|opm_improvement|inventory_turnover,Offline retail needs store efficiency and margin evidence.
